town,office,district,party,candidate,votes
Barrington,3. FINANCIAL TOWN MEETING LIMITATIONS ON MOTIONS,,NON,Approve,8104
Barrington,3. FINANCIAL TOWN MEETING LIMITATIONS ON MOTIONS,,NON,Reject,1694
Barrington,4. POLICE DEPARTMENT - CONSTABLES TOWN OF BARRINGTON,,NON,Approve,6157
Barrington,4. POLICE DEPARTMENT - CONSTABLES TOWN OF BARRINGTON,,NON,Reject,3666
Barrington,5. FINANCIAL PROVISIONS - PROPOSED BUDGET,,NON,Approve,7216
Barrington,5. FINANCIAL PROVISIONS - PROPOSED BUDGET,,NON,Reject,2356
Barrington,6. FINANCIAL TOWN MEETING: EMERGENCY BUDGET,,NON,Approve,5889
Barrington,6. FINANCIAL TOWN MEETING: EMERGENCY BUDGET,,NON,Reject,3585
Bristol,President,,DEM,Joseph R. Biden,6813
Bristol,President,,REP,Donald J. Trump,4595
Bristol,President,,Lib,Jo Jorgensen,139
Bristol,President,,NON,WRITE-IN,60
Bristol,President,,S&L,Gloria La Riva,19
Bristol,President,,All,Roque &quot;Rocky&quot; De La Fuente,17
Bristol,President,,AS,Brian Carroll,14
Bristol,U.S. Senate,,DEM,John F. Reed,7512
Bristol,U.S. Senate,,REP,Allen R. Waters,3653
Bristol,U.S. Senate,,NON,WRITE-IN,17
Bristol,U.S. House,1,DEM,David N. Cicilline,7011
Bristol,U.S. House,1,Ind,Frederick Wysocki,2022
Bristol,U.S. House,1,Ind,Jeffrey Edward Lemire,1621
Bristol,U.S. House,1,NON,WRITE-IN,80
Bristol,State Senate,10,DEM,"Walter S. Felag, Jr.",2713
Bristol,State Senate,10,REP,Mark W. Smiley,1651
Bristol,State Senate,10,NON,WRITE-IN,8
Bristol,State Senate,11,DEM,James Arthur Seveney,2084
Bristol,State Senate,11,NON,WRITE-IN,78
Bristol,State Senate,32,DEM,Cynthia Armour Coyne,2907
Bristol,State Senate,32,NON,WRITE-IN,127
Bristol,State House,68,DEM,June S. Speakman,3079
Bristol,State House,68,Lib,"William J. Hunt, Jr.",2176
Bristol,State House,68,NON,WRITE-IN,30
Bristol,State House,69,DEM,Susan R. Donovan,3197
Bristol,State House,69,REP,Ann L. Costa,2293
Bristol,State House,69,NON,WRITE-IN,15
Bristol,Town Administrator TOWN OF BRISTOL,,Ind,Steven Contente,9714
Bristol,Town Administrator TOWN OF BRISTOL,,NON,WRITE-IN,198
Bristol,Town Clerk TOWN OF BRISTOL,,DEM,Melissa Cordeiro,8986
Bristol,Town Clerk TOWN OF BRISTOL,,NON,WRITE-IN,349
Bristol,Town Council TOWN OF BRISTOL,,DEM,Nathan T. Calouro,6277
Bristol,Town Council TOWN OF BRISTOL,,Ind,Antonio A. Teixeira,6104
Bristol,Town Council TOWN OF BRISTOL,,REP,Mary A. Parella,6051
Bristol,Town Council TOWN OF BRISTOL,,DEM,Timothy Edward Sweeney,5542
Bristol,Town Council TOWN OF BRISTOL,,DEM,Aaron J. Ley,5197
Bristol,Town Council TOWN OF BRISTOL,,Ind,Michael Thomas Byrnes,4783
Bristol,Town Council TOWN OF BRISTOL,,DEM,Bethany Sousa Foster,4505
Bristol,Town Council TOWN OF BRISTOL,,DEM,Adam M. Ramos,4363
Bristol,Town Council TOWN OF BRISTOL,,NON,WRITE-IN,213
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Sarah Jane Bullard,3956
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Karen L. Cabral,3837
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Marjorie J. McBride,2982
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Brian Reid Bradshaw,2876
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Andrew Benn,2557
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Jamie M. Brooks,2433
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,William M. O&#39;Dell,2165
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Corrie Leigh DaLuz,1532
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,WRITE-IN,137
Bristol,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,5298
Bristol,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5239
Bristol,2. CHANGING TITLE OF TOWN ADMINISTRATOR TO MAYOR,,NON,Reject,5760
Bristol,2. CHANGING TITLE OF TOWN ADMINISTRATOR TO MAYOR,,NON,Approve,5104
Bristol,FILLING TEMPORARY VACANCY IN OFFICE OF TOWN ADMIN/MAYOR,,NON,Approve,7162
Bristol,FILLING TEMPORARY VACANCY IN OFFICE OF TOWN ADMIN/MAYOR,,NON,Reject,3350
Bristol,4. EXTENDING THE TIMEFRAME FOR APPOINTMENT,,NON,Approve,7419
Bristol,4. EXTENDING THE TIMEFRAME FOR APPOINTMENT,,NON,Reject,2860
Bristol,5. ELIMINATING THE RESIDENCY REQUIREMENT FOR THE SEALER,,NON,Approve,5358
Bristol,5. ELIMINATING THE RESIDENCY REQUIREMENT FOR THE SEALER,,NON,Reject,4679
Bristol,6. CONFORMING PURCHASING REQUIREMENTS TO STATE LAW,,NON,Approve,6992
Bristol,6. CONFORMING PURCHASING REQUIREMENTS TO STATE LAW,,NON,Reject,2900
Bristol,7. ELIMINATING THE REQUIREMENT FOR THE CAPITAL PROJECT,,NON,Reject,5639
Bristol,7. ELIMINATING THE REQUIREMENT FOR THE CAPITAL PROJECT,,NON,Approve,4493
Burrillville,President,,REP,Donald J. Trump,4906
Burrillville,President,,DEM,Joseph R. Biden,3434
Burrillville,President,,Lib,Jo Jorgensen,126
Burrillville,President,,NON,WRITE-IN,37
Burrillville,President,,S&L,Gloria La Riva,15
Burrillville,President,,All,Roque &quot;Rocky&quot; De La Fuente,13
Burrillville,President,,AS,Brian Carroll,7
Burrillville,U.S. Senate,,REP,Allen R. Waters,4299
Burrillville,U.S. Senate,,DEM,John F. Reed,3876
Burrillville,U.S. Senate,,NON,WRITE-IN,14
Burrillville,U.S. House,2,REP,Robert B. Lancia,4478
Burrillville,U.S. House,2,DEM,James R. Langevin,3690
Burrillville,U.S. House,2,NON,WRITE-IN,12
Burrillville,State Senate,23,REP,Jessica de la Cruz,5568
Burrillville,State Senate,23,DEM,Paul A. Roselli,2597
Burrillville,State Senate,23,NON,WRITE-IN,64
Burrillville,State House,47,REP,David J. Place,5521
Burrillville,State House,47,NON,WRITE-IN,238
Burrillville,State House,48,REP,Brian C. Newberry,1079
Burrillville,State House,48,NON,WRITE-IN,32
Burrillville,Town Council TOWN OF BURRILLVILLE,,REP,Raymond J. Trinque,4239
Burrillville,Town Council TOWN OF BURRILLVILLE,,REP,Justin P. Batalon,4018
Burrillville,Town Council TOWN OF BURRILLVILLE,,DEM,Jeremy P. Bailey,3819
Burrillville,Town Council TOWN OF BURRILLVILLE,,DEM,Mary Gauvin,2919
Burrillville,Town Council TOWN OF BURRILLVILLE,,REP,Michael S. Puyana,2883
Burrillville,Town Council TOWN OF BURRILLVILLE,,DEM,Matthew J. Zanni,2819
Burrillville,Town Council TOWN OF BURRILLVILLE,,NON,WRITE-IN,51
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,Dorothy A. Cardon,5532
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,"Victor Bevilacqua, Jr.",4657
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,Sean M. Bouzan,4652
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,WRITE-IN,170
Burrillville,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,5074
Burrillville,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2900
Burrillville,"2. SCHOOLS/SCHOOL FACILITIES $7,000,000 BONDS AND NOTES",,NON,Approve,5730
Burrillville,"2. SCHOOLS/SCHOOL FACILITIES $7,000,000 BONDS AND NOTES",,NON,Reject,2175
Central Falls,President,,DEM,Joseph R. Biden,3073
Central Falls,President,,REP,Donald J. Trump,1113
Central Falls,President,,S&L,Gloria La Riva,27
Central Falls,President,,Lib,Jo Jorgensen,25
Central Falls,President,,NON,WRITE-IN,16
Central Falls,President,,All,Roque &quot;Rocky&quot; De La Fuente,10
Central Falls,President,,AS,Brian Carroll,8
Central Falls,U.S. Senate,,DEM,John F. Reed,3002
Central Falls,U.S. Senate,,REP,Allen R. Waters,658
Central Falls,U.S. Senate,,NON,WRITE-IN,8
Central Falls,U.S. House,1,DEM,David N. Cicilline,3185
Central Falls,U.S. House,1,Ind,Frederick Wysocki,311
Central Falls,U.S. House,1,Ind,Jeffrey Edward Lemire,281
Central Falls,U.S. House,1,NON,WRITE-IN,21
Central Falls,State Senate,16,DEM,Jonathon Acosta,3300
Central Falls,State Senate,16,NON,WRITE-IN,184
Central Falls,State House,56,DEM,Joshua J. Giraldo,2267
Central Falls,State House,56,NON,WRITE-IN,59
Central Falls,State House,57,DEM,James N. McLaughlin,1033
Central Falls,State House,57,NON,WRITE-IN,23
Central Falls,Non-Partisan Mayor CITY OF CENTRAL FALLS,,NON,L. Maria Rivera,3024
Central Falls,Non-Partisan Mayor CITY OF CENTRAL FALLS,,NON,"Joseph P. Moran, III",879
Central Falls,Non-Partisan Mayor CITY OF CENTRAL FALLS,,NON,WRITE-IN,23
Central Falls,Non-Partisan City Council - At Large,,NON,Tatiana Baena,1718
Central Falls,Non-Partisan City Council - At Large,,NON,Glendaliz Colon,1288
Central Falls,Non-Partisan City Council - At Large,,NON,Carlene P. Fonseca,1223
Central Falls,Non-Partisan City Council - At Large,,NON,Kevin K. Kazarian,777
Central Falls,Non-Partisan City Council - At Large,,NON,WRITE-IN,27
Central Falls,Non-Partisan City Council Ward 1 Central Falls,,NON,Meaghan Levasseur,587
Central Falls,Non-Partisan City Council Ward 1 Central Falls,,NON,WRITE-IN,20
Central Falls,Non-Partisan City Council Ward 2 Central Falls,,NON,Adamaris Villar,385
Central Falls,Non-Partisan City Council Ward 2 Central Falls,,NON,Robert A. Ferri,350
Central Falls,Non-Partisan City Council Ward 2 Central Falls,,NON,WRITE-IN,5
Central Falls,Non-Partisan City Council Ward 3 Central Falls,,NON,Hugo A. Figueroa,577
Central Falls,Non-Partisan City Council Ward 3 Central Falls,,NON,WRITE-IN,11
Central Falls,Non-Partisan City Council Ward 4 Central Falls,,NON,Franklin Solano,657
Central Falls,Non-Partisan City Council Ward 4 Central Falls,,NON,WRITE-IN,9
Central Falls,Non-Partisan City Council Ward 5 Central Falls,,NON,Jessica Vega,729
Central Falls,Non-Partisan City Council Ward 5 Central Falls,,NON,WRITE-IN,12
Central Falls,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2124
Central Falls,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,746
Charlestown,President,,DEM,Joseph R. Biden,2909
Charlestown,President,,REP,Donald J. Trump,2198
Charlestown,President,,Lib,Jo Jorgensen,64
Charlestown,President,,NON,WRITE-IN,27
Charlestown,President,,All,Roque &quot;Rocky&quot; De La Fuente,9
Charlestown,President,,S&L,Gloria La Riva,9
Charlestown,President,,AS,Brian Carroll,4
Charlestown,U.S. Senate,,DEM,John F. Reed,3044
Charlestown,U.S. Senate,,REP,Allen R. Waters,1940
Charlestown,U.S. Senate,,NON,WRITE-IN,5
Charlestown,U.S. House,2,DEM,James R. Langevin,2811
Charlestown,U.S. House,2,REP,Robert B. Lancia,2127
Charlestown,U.S. House,2,NON,WRITE-IN,6
Charlestown,State Senate,34,DEM,Jennifer C. Douglas,1391
Charlestown,State Senate,34,REP,Elaine J. Morgan,1284
Charlestown,State Senate,34,NON,WRITE-IN,2
Charlestown,State Senate,38,REP,Dennis L. Algiere,1669
Charlestown,State Senate,38,NON,WRITE-IN,63
Charlestown,State House,36,REP,Blake A. Filippi,3772
Charlestown,State House,36,NON,WRITE-IN,130
Charlestown,Town Moderator TOWN OF CHARLESTOWN,,Ind,Charles W. Beck,2707
Charlestown,Town Moderator TOWN OF CHARLESTOWN,,Ind,Ronald J. Areglado,1707
Charlestown,Town Moderator TOWN OF CHARLESTOWN,,NON,WRITE-IN,15
Charlestown,Chariho School Committee TOWN OF CHARLESTOWN,,Ind,Gail L. McAllister,3878
Charlestown,Chariho School Committee TOWN OF CHARLESTOWN,,NON,WRITE-IN,23
Charlestown,Town Council TOWN OF CHARLESTOWN,,DEM,Deborah A. Carney,2423
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Cody W. Clarkin,2169
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Susan J. Cooper,2072
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Bonnita B. Van Slyke,2058
Charlestown,Town Council TOWN OF CHARLESTOWN,,REP,Grace F. Klinger,2009
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Sheila M. Andrew,1980
Charlestown,Town Council TOWN OF CHARLESTOWN,,REP,Stephen J. Stokes,1974
Charlestown,Town Council TOWN OF CHARLESTOWN,,DEM,Jodi J. Frank,1962
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,David M. Wilkinson,1962
Charlestown,Town Council TOWN OF CHARLESTOWN,,DEM,W. Scott Keeley,1791
Charlestown,Town Council TOWN OF CHARLESTOWN,,Ind,Jacob A. Wolfgang,886
Charlestown,Town Council TOWN OF CHARLESTOWN,,NON,WRITE-IN,29
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Ruth L. Platner,2701
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Frances M. Topping,2389
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Patricia A. Stamps,2290
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,"Walter B. Mahony, III",2218
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Gordon L. Foer,2210
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,Howard T. Stephens,1813
Charlestown,Non-Partisan Planning Commission TOWN OF CHARLESTOWN,,NON,WRITE-IN,39
Charlestown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,2459
Charlestown,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,2443
Coventry,President,,REP,Donald J. Trump,10461
Coventry,President,,DEM,Joseph R. Biden,9123
Coventry,President,,Lib,Jo Jorgensen,232
Coventry,President,,NON,WRITE-IN,89
Coventry,President,,All,Roque &quot;Rocky&quot; De La Fuente,40
Coventry,President,,AS,Brian Carroll,37
Coventry,President,,S&L,Gloria La Riva,22
Coventry,U.S. Senate,,DEM,John F. Reed,10440
Coventry,U.S. Senate,,REP,Allen R. Waters,8788
Coventry,U.S. Senate,,NON,WRITE-IN,25
Coventry,U.S. House,2,REP,Robert B. Lancia,9696
Coventry,U.S. House,2,DEM,James R. Langevin,9532
Coventry,U.S. House,2,NON,WRITE-IN,27
Coventry,State Senate,21,REP,Gordon E. Rogers,4572
Coventry,State Senate,21,NON,WRITE-IN,223
Coventry,State Senate,33,DEM,Leonidas P. Raptakis,9927
Coventry,State Senate,33,NON,WRITE-IN,639
Coventry,State House,25,DEM,Thomas E. Noret,1058
Coventry,State House,25,NON,WRITE-IN,62
Coventry,State House,26,REP,Patricia L. Morgan,1021
Coventry,State House,26,DEM,James B. Jackson,703
Coventry,State House,26,NON,WRITE-IN,8
Coventry,State House,27,DEM,Patricia A. Serpa,887
Coventry,State House,27,NON,WRITE-IN,52
Coventry,State House,28,REP,George A. Nardone,4641
Coventry,State House,28,DEM,Scott J. Guthrie,3302
Coventry,State House,28,NON,WRITE-IN,10
Coventry,State House,29,REP,Sherry Roberts,4174
Coventry,State House,29,NON,WRITE-IN,164
Coventry,State House,40,REP,Michael W. Chippendale,1030
Coventry,State House,40,DEM,Linda A. Nichols,534
Coventry,State House,40,NON,WRITE-IN,2
Coventry,Non-Partisan Town Council District 2 Coventry,,NON,Jennifer M. Ludwig,1740
Coventry,Non-Partisan Town Council District 2 Coventry,,NON,Bradford A. Mayer,1660
Coventry,Non-Partisan Town Council District 2 Coventry,,NON,WRITE-IN,19
Coventry,Non-Partisan Town Council District 3 Coventry,,NON,James E. LeBlanc,2667
Coventry,Non-Partisan Town Council District 3 Coventry,,NON,WRITE-IN,75
Coventry,Non-Partisan Town Council District 5 Coventry,,NON,Kimberly A. Shockley,1896
Coventry,Non-Partisan Town Council District 5 Coventry,,NON,Debra L. Bacon,1693
Coventry,Non-Partisan Town Council District 5 Coventry,,NON,WRITE-IN,49
Coventry,Non-Partisan School Committee District 1 Coventry,,NON,Lucas W. Murray,2813
Coventry,Non-Partisan School Committee District 1 Coventry,,NON,WRITE-IN,77
Coventry,Non-Partisan School Committee District 4 Coventry,,NON,David P. Florio,2617
Coventry,Non-Partisan School Committee District 4 Coventry,,NON,WRITE-IN,81
Coventry,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,11278
Coventry,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,7675
Coventry,2. TOWN MANAGER QUALIFICATIONS TOWN OF COVENTRY,,NON,Approve,11870
Coventry,2. TOWN MANAGER QUALIFICATIONS TOWN OF COVENTRY,,NON,Reject,6334
Coventry,3. GENERAL PROVISIONS TOWN OF COVENTRY,,NON,Approve,14360
Coventry,3. GENERAL PROVISIONS TOWN OF COVENTRY,,NON,Reject,3568
Coventry,4. REQUIRING PUBLIC COMMENT ON COUNCIL MEETING AGENDAS,,NON,Approve,14918
Coventry,4. REQUIRING PUBLIC COMMENT ON COUNCIL MEETING AGENDAS,,NON,Reject,2662
Coventry,5. ACTING TOWN MANAGER TOWN OF COVENTRY,,NON,Approve,13553
Coventry,5. ACTING TOWN MANAGER TOWN OF COVENTRY,,NON,Reject,4433
Cranston,President,,DEM,Joseph R. Biden,23039
Cranston,President,,REP,Donald J. Trump,17313
Cranston,President,,Lib,Jo Jorgensen,311
Cranston,President,,NON,WRITE-IN,202
Cranston,President,,All,Roque &quot;Rocky&quot; De La Fuente,73
Cranston,President,,S&L,Gloria La Riva,68
Cranston,President,,AS,Brian Carroll,47
Cranston,U.S. Senate,,DEM,John F. Reed,25591
Cranston,U.S. Senate,,REP,Allen R. Waters,13907
Cranston,U.S. Senate,,NON,WRITE-IN,48
Cranston,U.S. House,2,DEM,James R. Langevin,23035
Cranston,U.S. House,2,REP,Robert B. Lancia,16347
Cranston,U.S. House,2,NON,WRITE-IN,97
Cranston,State Senate,26,DEM,Frank S. Lombardi,8078
Cranston,State Senate,26,REP,"Anthony Fagundes, Sr.",5091
Cranston,State Senate,26,NON,WRITE-IN,41
Cranston,State Senate,27,DEM,Hanna M. Gallo,7654
Cranston,State Senate,27,REP,Pat V. Cortellessa,5565
Cranston,State Senate,27,Ind,Jonathan J. Keith,751
Cranston,State Senate,27,NON,WRITE-IN,15
Cranston,State Senate,28,DEM,Joshua Miller,8060
Cranston,State Senate,28,Ind,Robert A. Schattle,3434
Cranston,State Senate,28,NON,WRITE-IN,61
Cranston,State House,14,DEM,Charlene Lima,3407
Cranston,State House,14,NON,WRITE-IN,115
Cranston,State House,15,REP,Barbara Ann Fenton-Fung,4731
Cranston,State House,15,DEM,Nicholas A. Mattiello,3315
Cranston,State House,15,NON,WRITE-IN,32
Cranston,State House,16,DEM,Brandon C. Potter,4144
Cranston,State House,16,REP,Maryann Lancia,3560
Cranston,State House,16,NON,WRITE-IN,16
Cranston,State House,17,DEM,Jacquelyn M. Baginski,5128
Cranston,State House,17,NON,WRITE-IN,208
Cranston,State House,18,DEM,Arthur Handy,5350
Cranston,State House,18,NON,WRITE-IN,221
Cranston,State House,19,DEM,Joseph McNamara,584
Cranston,State House,19,Ind,"Patrick E. Maloney, Jr.",204
Cranston,State House,19,NON,WRITE-IN,4
Cranston,State House,20,DEM,David A. Bennett,9
Cranston,State House,20,NON,WRITE-IN,0
Cranston,State House,41,REP,Robert J. Quattrocchi,1570
Cranston,State House,41,DEM,Pamela Carosi,944
Cranston,State House,41,NON,WRITE-IN,3
Cranston,State House,42,DEM,"Edward T. Cardillo, Jr.",903
Cranston,State House,42,REP,Frank T. Ricci,859
Cranston,State House,42,NON,WRITE-IN,2
Cranston,Mayor CITY OF CRANSTON,,REP,Kenneth J. Hopkins,21677
Cranston,Mayor CITY OF CRANSTON,,DEM,Maria A. Bucci,18309
Cranston,Mayor CITY OF CRANSTON,,NON,WRITE-IN,166
Cranston,Council - City Wide CITY OF CRANSTON,,DEM,Jessica M. Marino,19863
Cranston,Council - City Wide CITY OF CRANSTON,,REP,Robert J. Ferri,17086
Cranston,Council - City Wide CITY OF CRANSTON,,REP,Nicole Renzulli,16055
Cranston,Council - City Wide CITY OF CRANSTON,,DEM,Larry Orlando Warner,13346
Cranston,Council - City Wide CITY OF CRANSTON,,DEM,Dylan M. Zelazo,13109
Cranston,Council - City Wide CITY OF CRANSTON,,REP,Donald J. Roach,11286
Cranston,Council - City Wide CITY OF CRANSTON,,NON,WRITE-IN,187
Cranston,Council Ward 1 Cranston,,DEM,Lammis J. Vargas,5523
Cranston,Council Ward 1 Cranston,,NON,WRITE-IN,185
Cranston,Council Ward 2 Cranston,,DEM,Aniece Germain,3578
Cranston,Council Ward 2 Cranston,,REP,Zachary D. Sailer,2531
Cranston,Council Ward 2 Cranston,,NON,WRITE-IN,7
Cranston,Council Ward 3 Cranston,,DEM,John P. Donegan,3730
Cranston,Council Ward 3 Cranston,,NON,WRITE-IN,136
Cranston,Council Ward 4 Cranston,,REP,Edward J. Brady,6822
Cranston,Council Ward 4 Cranston,,NON,WRITE-IN,154
Cranston,Council Ward 5 Cranston,,REP,Christopher G. Paplauskas,5782
Cranston,Council Ward 5 Cranston,,NON,WRITE-IN,165
Cranston,Council Ward 6 Cranston,,REP,Matthew R. Reilly,3177
Cranston,Council Ward 6 Cranston,,DEM,Paul A. Bucci,2963
Cranston,Council Ward 6 Cranston,,NON,WRITE-IN,10
Cranston,Non-Partisan School Committee - City Wide,,NON,Michael A. Traficante,31514
Cranston,Non-Partisan School Committee - City Wide,,NON,WRITE-IN,694
Cranston,Non-Partisan School Committee Ward 1 Cranston,,NON,Sara K. Tindall-Woodman,5157
Cranston,Non-Partisan School Committee Ward 1 Cranston,,NON,WRITE-IN,102
Cranston,Non-Partisan School Committee Ward 2 Cranston,,NON,Kristen E. Haroian,4866
Cranston,Non-Partisan School Committee Ward 2 Cranston,,NON,WRITE-IN,62
Cranston,Non-Partisan School Committee Ward 3 Cranston,,NON,"Domenic F. Fusco, Jr.",3582
Cranston,Non-Partisan School Committee Ward 3 Cranston,,NON,WRITE-IN,82
Cranston,Non-Partisan School Committee Ward 4 Cranston,,NON,"Vincent L. Turchetta, Jr.",6523
Cranston,Non-Partisan School Committee Ward 4 Cranston,,NON,WRITE-IN,79
Cranston,Non-Partisan School Committee Ward 5 Cranston,,NON,David A. Alden Sears,5296
Cranston,Non-Partisan School Committee Ward 5 Cranston,,NON,WRITE-IN,75
Cranston,Non-Partisan School Committee Ward 6 Cranston,,NON,Daniel R. Wall,4898
Cranston,Non-Partisan School Committee Ward 6 Cranston,,NON,WRITE-IN,73
Cranston,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,19474
Cranston,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,18737
Cranston,"2. SCHOOLS AND SCHOOL FACILITIES $147,000,000",,NON,Approve,30814
Cranston,"2. SCHOOLS AND SCHOOL FACILITIES $147,000,000",,NON,Reject,7945
Cranston,"3. FIRE AND PUBLIC SAFETY EQUIPMENT $2,000,000",,NON,Approve,30874
Cranston,"3. FIRE AND PUBLIC SAFETY EQUIPMENT $2,000,000",,NON,Reject,7248
Cranston,"4. PUBLIC BUILDINGS $1,000,000 BONDS AND NOTES",,NON,Approve,24654
Cranston,"4. PUBLIC BUILDINGS $1,000,000 BONDS AND NOTES",,NON,Reject,13158
Cranston,"5. PLAYGROUNDS AND ATHLETIC FIELDS $2,000,000",,NON,Approve,28048
Cranston,"5. PLAYGROUNDS AND ATHLETIC FIELDS $2,000,000",,NON,Reject,10417
Cranston,"6. STREETS, SIDEWALKS, AND BRIDGES $10,000,000",,NON,Approve,32696
Cranston,"6. STREETS, SIDEWALKS, AND BRIDGES $10,000,000",,NON,Reject,6016
Cranston,"7. RENEWABLE ENERGY IMPROVEMENTS $5,000,000",,NON,Approve,27537
Cranston,"7. RENEWABLE ENERGY IMPROVEMENTS $5,000,000",,NON,Reject,10996
Cranston,8. WARD REDISTRICTING CITY OF CRANSTON,,NON,Approve,27201
Cranston,8. WARD REDISTRICTING CITY OF CRANSTON,,NON,Reject,10878
Cranston,9. MAYOR&#39;S LINE ITEM VETO CITY OF CRANSTON,,NON,Approve,23847
Cranston,9. MAYOR&#39;S LINE ITEM VETO CITY OF CRANSTON,,NON,Reject,14157
Cranston,10. RAINY DAY FUND (UNDESIGNATED FUND BALANCE),,NON,Approve,28277
Cranston,10. RAINY DAY FUND (UNDESIGNATED FUND BALANCE),,NON,Reject,10094
Cranston,11. PROPERTY TAX LEVY CAP CITY OF CRANSTON,,NON,Approve,33218
Cranston,11. PROPERTY TAX LEVY CAP CITY OF CRANSTON,,NON,Reject,5456
Cumberland,President,,DEM,Joseph R. Biden,10869
