county,precinct,office,district,candidate,party,votes,yes_votes,no_votes
Adams,4253001245,"District Court, 17th Judicial District",,Caryn A. Datz,,0,177,130
Adams,4253001245,"District Court, 17th Judicial District",,Sean Patrick Finn,,0,181,125
Adams,4253001245,"District Court, 17th Judicial District",,Robert Walter Kiesnowski Jr.,,0,181,122
Adams,4253001245,"District Court, 17th Judicial District",,Priscilla Loew,,0,176,129
Adams,4253001245,"District Court, 17th Judicial District",,Roberto Ramirez,,0,158,147
Adams,4253001245,"District Court, 17th Judicial District",,Mark Douglas Warner,,0,169,135
Adams,4253001245,"County Court, Adams",,Martin J. Flaum II,,0,174,134
Adams,4253001245,"County Court, Adams",,Leroy D. Kirby,,0,186,123
Adams,4253001245,Amendment B (CONSTITUTIONAL),,,,0,151,188
Adams,4253001245,Amendment C (CONSTITUTIONAL),,,,0,157,181
Adams,4253001245,Amendment 76 (CONSTITUTIONAL),,,,0,292,60
Adams,4253001245,Amendment 77 (CONSTITUTIONAL),,,,0,207,139
Adams,4253001245,Proposition EE (STATUTORY),,,,0,156,199
Adams,4253001245,Proposition 113 (STATUTORY),,,,0,81,267
Adams,4253001245,Proposition 114 (STATUTORY),,,,0,95,254
Adams,4253001245,Proposition 115 (STATUTORY),,,,0,211,140
Adams,4253001245,Proposition 116 (STATUTORY),,,,0,279,74
Adams,4253001245,Proposition 117 (STATUTORY),,,,0,209,123
Adams,4253001245,Proposition 118 (STATUTORY),,,,0,109,237
Adams,4255601241,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,9,0,0
Adams,4255601241,President,,Donald J. Trump / Michael R. Pence,Republican Party,31,0,0
Adams,4255601241,President,,Don Blankenship / William Mohr,American Constitution Party,0,0,0
Adams,4255601241,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,0,0,0
Adams,4255601241,President,,Howie Hawkins / Angela Nicole Walker,Green Party,0,0,0
Adams,4255601241,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Adams,4255601241,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,0,0,0
Adams,4255601241,President,,Brian Carroll / Amar Patel,American Solidarity Party,0,0,0
Adams,4255601241,President,,Mark Charles / Adrian Wallace,Unaffiliated,0,0,0
Adams,4255601241,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Adams,4255601241,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,0,0,0
Adams,4255601241,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Adams,4255601241,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Adams,4255601241,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Adams,4255601241,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Adams,4255601241,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,0,0,0
Adams,4255601241,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Adams,4255601241,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Adams,4255601241,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Adams,4255601241,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Adams,4255601241,President,,Kanye West / Michelle Tidball,Unaffiliated,0,0,0
Adams,4255601241,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Adams,4255601241,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Adams,4255601241,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Adams,4255601241,U.S. Senate,,John W. Hickenlooper,Democratic Party,9,0,0
Adams,4255601241,U.S. Senate,,Cory Gardner,Republican Party,31,0,0
Adams,4255601241,U.S. Senate,,Daniel Doyle,Approval Voting Party,0,0,0
Adams,4255601241,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,0,0,0
Adams,4255601241,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,0,0,0
Adams,4255601241,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Adams,4255601241,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Adams,4255601241,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Adams,4255601241,U.S. House,4,Ike McCorkle,Democratic Party,8,0,0
Adams,4255601241,U.S. House,4,Ken Buck,Republican Party,29,0,0
Adams,4255601241,U.S. House,4,Bruce Griffith,Libertarian Party,0,0,0
Adams,4255601241,U.S. House,4,Laura Ireland,Unity Party of Colorado,1,0,0
Adams,4255601241,State Senate,25,Kevin Priola,Republican Party,30,0,0
Adams,4255601241,State Senate,25,Paula Dickerson,Democratic Party,10,0,0
Adams,4255601241,State House,56,Rod Bockenfeld,Republican Party,30,0,0
Adams,4255601241,State House,56,Giugi Carminati,Democratic Party,9,0,0
Adams,4255601241,State House,56,Kevin Gulbranson,Libertarian Party,0,0,0
Adams,4255601241,District Attorney - District 17,,Tim McCormack,Republican Party,29,0,0
Adams,4255601241,District Attorney - District 17,,Brian Mason,Democratic Party,9,0,0
Adams,4255601241,Supreme Court,,Melissa Hart,,0,16,12
Adams,4255601241,Supreme Court,,Carlos A. Samour Jr.,,0,14,14
Adams,4255601241,Court of Appeals,,Ted C. Tow III,,0,14,14
Adams,4255601241,Court of Appeals,,Craig R. Welling,,0,13,16
Adams,4255601241,"District Court, 17th Judicial District",,Tomee Crespin,,0,13,16
Adams,4255601241,"District Court, 17th Judicial District",,Caryn A. Datz,,0,12,17
Adams,4255601241,"District Court, 17th Judicial District",,Sean Patrick Finn,,0,12,17
Adams,4255601241,"District Court, 17th Judicial District",,Robert Walter Kiesnowski Jr.,,0,14,15
Adams,4255601241,"District Court, 17th Judicial District",,Priscilla Loew,,0,13,16
Adams,4255601241,"District Court, 17th Judicial District",,Roberto Ramirez,,0,19,10
Adams,4255601241,"District Court, 17th Judicial District",,Mark Douglas Warner,,0,12,17
Adams,4255601241,"County Court, Adams",,Martin J. Flaum II,,0,20,8
Adams,4255601241,"County Court, Adams",,Leroy D. Kirby,,0,20,9
Adams,4255601241,Amendment B (CONSTITUTIONAL),,,,0,20,17
Adams,4255601241,Amendment C (CONSTITUTIONAL),,,,0,15,21
Adams,4255601241,Amendment 76 (CONSTITUTIONAL),,,,0,32,5
Adams,4255601241,Amendment 77 (CONSTITUTIONAL),,,,0,14,23
Adams,4255601241,Proposition EE (STATUTORY),,,,0,12,25
Adams,4255601241,Proposition 113 (STATUTORY),,,,0,9,27
Adams,4255601241,Proposition 114 (STATUTORY),,,,0,12,26
Adams,4255601241,Proposition 115 (STATUTORY),,,,0,28,10
Adams,4255601241,Proposition 116 (STATUTORY),,,,0,32,6
Adams,4255601241,Proposition 117 (STATUTORY),,,,0,26,10
Adams,4255601241,Proposition 118 (STATUTORY),,,,0,12,25
Adams,4255601246,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,372,0,0
Adams,4255601246,President,,Donald J. Trump / Michael R. Pence,Republican Party,799,0,0
Adams,4255601246,President,,Don Blankenship / William Mohr,American Constitution Party,2,0,0
Adams,4255601246,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,0,0,0
Adams,4255601246,President,,Howie Hawkins / Angela Nicole Walker,Green Party,6,0,0
Adams,4255601246,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Adams,4255601246,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,28,0,0
Adams,4255601246,President,,Brian Carroll / Amar Patel,American Solidarity Party,1,0,0
Adams,4255601246,President,,Mark Charles / Adrian Wallace,Unaffiliated,1,0,0
Adams,4255601246,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Adams,4255601246,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,0,0,0
Adams,4255601246,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Adams,4255601246,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,2,0,0
Adams,4255601246,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Adams,4255601246,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Adams,4255601246,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,0,0,0
Adams,4255601246,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Adams,4255601246,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Adams,4255601246,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Adams,4255601246,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Adams,4255601246,President,,Kanye West / Michelle Tidball,Unaffiliated,8,0,0
Adams,4255601246,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Adams,4255601246,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Adams,4255601246,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Adams,4255601246,U.S. Senate,,John W. Hickenlooper,Democratic Party,354,0,0
Adams,4255601246,U.S. Senate,,Cory Gardner,Republican Party,806,0,0
Adams,4255601246,U.S. Senate,,Daniel Doyle,Approval Voting Party,9,0,0
Adams,4255601246,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,4,0,0
Adams,4255601246,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,42,0,0
Adams,4255601246,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Adams,4255601246,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Adams,4255601246,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Adams,4255601246,U.S. House,4,Ike McCorkle,Democratic Party,325,0,0
Adams,4255601246,U.S. House,4,Ken Buck,Republican Party,773,0,0
Adams,4255601246,U.S. House,4,Bruce Griffith,Libertarian Party,45,0,0
Adams,4255601246,U.S. House,4,Laura Ireland,Unity Party of Colorado,35,0,0
Adams,4255601246,State Senate,25,Kevin Priola,Republican Party,836,0,0
Adams,4255601246,State Senate,25,Paula Dickerson,Democratic Party,344,0,0
Adams,4255601246,State House,56,Rod Bockenfeld,Republican Party,789,0,0
Adams,4255601246,State House,56,Giugi Carminati,Democratic Party,320,0,0
Adams,4255601246,State House,56,Kevin Gulbranson,Libertarian Party,63,0,0
Adams,4255601246,District Attorney - District 17,,Tim McCormack,Republican Party,824,0,0
Adams,4255601246,District Attorney - District 17,,Brian Mason,Democratic Party,341,0,0
Adams,4255601246,Supreme Court,,Melissa Hart,,0,581,468
Adams,4255601246,Supreme Court,,Carlos A. Samour Jr.,,0,551,492
Adams,4255601246,Court of Appeals,,Ted C. Tow III,,0,546,489
Adams,4255601246,Court of Appeals,,Craig R. Welling,,0,521,509
Adams,4255601246,"District Court, 17th Judicial District",,Tomee Crespin,,0,393,640
Adams,4255601246,"District Court, 17th Judicial District",,Caryn A. Datz,,0,563,468
Adams,4255601246,"District Court, 17th Judicial District",,Sean Patrick Finn,,0,578,454
Adams,4255601246,"District Court, 17th Judicial District",,Robert Walter Kiesnowski Jr.,,0,560,465
Adams,4255601246,"District Court, 17th Judicial District",,Priscilla Loew,,0,582,446
Adams,4255601246,"District Court, 17th Judicial District",,Roberto Ramirez,,0,531,497
Adams,4255601246,"District Court, 17th Judicial District",,Mark Douglas Warner,,0,559,468
Adams,4255601246,"County Court, Adams",,Martin J. Flaum II,,0,567,463
Adams,4255601246,"County Court, Adams",,Leroy D. Kirby,,0,591,435
Adams,4255601246,Amendment B (CONSTITUTIONAL),,,,0,548,590
Adams,4255601246,Amendment C (CONSTITUTIONAL),,,,0,576,564
Adams,4255601246,Amendment 76 (CONSTITUTIONAL),,,,0,959,232
Adams,4255601246,Amendment 77 (CONSTITUTIONAL),,,,0,750,403
Adams,4255601246,Proposition EE (STATUTORY),,,,0,578,605
Adams,4255601246,Proposition 113 (STATUTORY),,,,0,446,724
Adams,4255601246,Proposition 114 (STATUTORY),,,,0,533,642
Adams,4255601246,Proposition 115 (STATUTORY),,,,0,628,561
Adams,4255601246,Proposition 116 (STATUTORY),,,,0,862,319
Adams,4255601246,Proposition 117 (STATUTORY),,,,0,671,440
Adams,4255601246,Proposition 118 (STATUTORY),,,,0,584,582
Adams,4255601247,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,187,0,0
Adams,4255601247,President,,Donald J. Trump / Michael R. Pence,Republican Party,699,0,0
Adams,4255601247,President,,Don Blankenship / William Mohr,American Constitution Party,3,0,0
Adams,4255601247,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,2,0,0
Adams,4255601247,President,,Howie Hawkins / Angela Nicole Walker,Green Party,1,0,0
Adams,4255601247,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Adams,4255601247,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,17,0,0
Adams,4255601247,President,,Brian Carroll / Amar Patel,American Solidarity Party,0,0,0
Adams,4255601247,President,,Mark Charles / Adrian Wallace,Unaffiliated,2,0,0
Adams,4255601247,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Adams,4255601247,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,1,0,0
Adams,4255601247,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,0,0,0
Adams,4255601247,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Adams,4255601247,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Adams,4255601247,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Adams,4255601247,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,0,0,0
Adams,4255601247,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Adams,4255601247,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,2,0,0
Adams,4255601247,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Adams,4255601247,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Adams,4255601247,President,,Kanye West / Michelle Tidball,Unaffiliated,2,0,0
Adams,4255601247,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Adams,4255601247,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Adams,4255601247,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Adams,4255601247,U.S. Senate,,John W. Hickenlooper,Democratic Party,177,0,0
Adams,4255601247,U.S. Senate,,Cory Gardner,Republican Party,716,0,0
Adams,4255601247,U.S. Senate,,Daniel Doyle,Approval Voting Party,1,0,0
Adams,4255601247,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,2,0,0
Adams,4255601247,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,17,0,0
Adams,4255601247,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Adams,4255601247,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Adams,4255601247,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Adams,4255601247,U.S. House,4,Ike McCorkle,Democratic Party,149,0,0
Adams,4255601247,U.S. House,4,Ken Buck,Republican Party,707,0,0
Adams,4255601247,U.S. House,4,Bruce Griffith,Libertarian Party,24,0,0
Adams,4255601247,U.S. House,4,Laura Ireland,Unity Party of Colorado,7,0,0
Adams,4255601247,State Senate,25,Kevin Priola,Republican Party,709,0,0
Adams,4255601247,State Senate,25,Paula Dickerson,Democratic Party,179,0,0
Adams,4255601247,State House,56,Rod Bockenfeld,Republican Party,705,0,0
Adams,4255601247,State House,56,Giugi Carminati,Democratic Party,145,0,0
Adams,4255601247,State House,56,Kevin Gulbranson,Libertarian Party,30,0,0
Adams,4255601247,District Attorney - District 17,,Tim McCormack,Republican Party,705,0,0
Adams,4255601247,District Attorney - District 17,,Brian Mason,Democratic Party,160,0,0
Adams,4255601247,Supreme Court,,Melissa Hart,,0,431,328
Adams,4255601247,Supreme Court,,Carlos A. Samour Jr.,,0,418,329
Adams,4255601247,Court of Appeals,,Ted C. Tow III,,0,413,329
Adams,4255601247,Court of Appeals,,Craig R. Welling,,0,402,340
Adams,4255601247,"District Court, 17th Judicial District",,Tomee Crespin,,0,281,458
Adams,4255601247,"District Court, 17th Judicial District",,Caryn A. Datz,,0,420,318
Adams,4255601247,"District Court, 17th Judicial District",,Sean Patrick Finn,,0,457,280
Adams,4255601247,"District Court, 17th Judicial District",,Robert Walter Kiesnowski Jr.,,0,439,299
Adams,4255601247,"District Court, 17th Judicial District",,Priscilla Loew,,0,462,279
Adams,4255601247,"District Court, 17th Judicial District",,Roberto Ramirez,,0,399,344
Adams,4255601247,"District Court, 17th Judicial District",,Mark Douglas Warner,,0,451,284
Adams,4255601247,"County Court, Adams",,Martin J. Flaum II,,0,432,310
Adams,4255601247,"County Court, Adams",,Leroy D. Kirby,,0,468,270
Adams,4255601247,Amendment B (CONSTITUTIONAL),,,,0,394,491
Adams,4255601247,Amendment C (CONSTITUTIONAL),,,,0,375,509
Adams,4255601247,Amendment 76 (CONSTITUTIONAL),,,,0,764,146
Adams,4255601247,Amendment 77 (CONSTITUTIONAL),,,,0,499,387
Adams,4255601247,Proposition EE (STATUTORY),,,,0,404,498
Adams,4255601247,Proposition 113 (STATUTORY),,,,0,232,662
Adams,4255601247,Proposition 114 (STATUTORY),,,,0,265,636
Adams,4255601247,Proposition 115 (STATUTORY),,,,0,560,337
Adams,4255601247,Proposition 116 (STATUTORY),,,,0,688,214
Adams,4255601247,Proposition 117 (STATUTORY),,,,0,560,300
Adams,4255601247,Proposition 118 (STATUTORY),,,,0,271,616
Adams,4255601248,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,212,0,0
Adams,4255601248,President,,Donald J. Trump / Michael R. Pence,Republican Party,723,0,0
Adams,4255601248,President,,Don Blankenship / William Mohr,American Constitution Party,3,0,0
Adams,4255601248,President,,Bill Hammons / Eric Bodenstab,Unity Party of Colorado,2,0,0
Adams,4255601248,President,,Howie Hawkins / Angela Nicole Walker,Green Party,2,0,0
Adams,4255601248,President,,Blake Huber / Frank Atwood,Approval Voting Party,0,0,0
Adams,4255601248,President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian Party,14,0,0
Adams,4255601248,President,,Brian Carroll / Amar Patel,American Solidarity Party,0,0,0
Adams,4255601248,President,,Mark Charles / Adrian Wallace,Unaffiliated,0,0,0
Adams,4255601248,President,,Phil Collins / Billy Joe Parker,Prohibition Party,0,0,0
Adams,4255601248,President,,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",Alliance Party,0,0,0
Adams,4255601248,President,,Dario Hunter / Dawn Neptune Adams,Progressive Party,2,0,0
Adams,4255601248,President,,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0,0,0
Adams,4255601248,President,,Alyson Kennedy / Malcolm Jarrett,Socialist Workers Party,0,0,0
Adams,4255601248,President,,Joseph Kishore / Norissa Santa Cruz,Socialist Equality Party,0,0,0
Adams,4255601248,President,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,Independent American Party,0,0,0
Adams,4255601248,President,,Gloria La Riva / Sunil Freeman,Socialism and Liberation,0,0,0
Adams,4255601248,President,,Joe McHugh / Elizabeth Storm,Unaffiliated,0,0,0
Adams,4255601248,President,,Brock Pierce / Karla Ballard,Unaffiliated,0,0,0
Adams,4255601248,President,,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0,0,0
Adams,4255601248,President,,Kanye West / Michelle Tidball,Unaffiliated,5,0,0
Adams,4255601248,President,,Kasey Wells / Rachel Wells,No Party Affiliation,0,0,0
Adams,4255601248,President,,Todd Cella / Timothy Bryan Cella,Independent,0,0,0
Adams,4255601248,President,,Tom Hoefling / Andy Prior,Unaffiliated / No Party Affiliation,0,0,0
Adams,4255601248,U.S. Senate,,John W. Hickenlooper,Democratic Party,214,0,0
Adams,4255601248,U.S. Senate,,Cory Gardner,Republican Party,715,0,0
Adams,4255601248,U.S. Senate,,Daniel Doyle,Approval Voting Party,3,0,0
Adams,4255601248,U.S. Senate,,"Stephan ""Seku"" Evans",Unity Party of Colorado,2,0,0
Adams,4255601248,U.S. Senate,,Raymon Anthony Doane,Libertarian Party,14,0,0
Adams,4255601248,U.S. Senate,,Danny Skelly,Unaffiliated,0,0,0
Adams,4255601248,U.S. Senate,,Bruce Lohmiller,Green Party,0,0,0
Adams,4255601248,U.S. Senate,,Michael Sanchez,Unaffiliated,0,0,0
Adams,4255601248,U.S. House,4,Ike McCorkle,Democratic Party,183,0,0
Adams,4255601248,U.S. House,4,Ken Buck,Republican Party,710,0,0
Adams,4255601248,U.S. House,4,Bruce Griffith,Libertarian Party,20,0,0
Adams,4255601248,U.S. House,4,Laura Ireland,Unity Party of Colorado,12,0,0
Adams,4255601248,State Senate,25,Kevin Priola,Republican Party,721,0,0
Adams,4255601248,State Senate,25,Paula Dickerson,Democratic Party,202,0,0
Adams,4255601248,State House,56,Rod Bockenfeld,Republican Party,717,0,0
Adams,4255601248,State House,56,Giugi Carminati,Democratic Party,169,0,0
Adams,4255601248,State House,56,Kevin Gulbranson,Libertarian Party,33,0,0
Adams,4255601248,District Attorney - District 17,,Tim McCormack,Republican Party,717,0,0
Adams,4255601248,District Attorney - District 17,,Brian Mason,Democratic Party,195,0,0
Adams,4255601248,Supreme Court,,Melissa Hart,,0,474,336
Adams,4255601248,Supreme Court,,Carlos A. Samour Jr.,,0,458,344
Adams,4255601248,Court of Appeals,,Ted C. Tow III,,0,455,339
Adams,4255601248,Court of Appeals,,Craig R. Welling,,0,452,342
Adams,4255601248,"District Court, 17th Judicial District",,Tomee Crespin,,0,323,475
Adams,4255601248,"District Court, 17th Judicial District",,Caryn A. Datz,,0,440,339
Adams,4255601248,"District Court, 17th Judicial District",,Sean Patrick Finn,,0,478,305
Adams,4255601248,"District Court, 17th Judicial District",,Robert Walter Kiesnowski Jr.,,0,482,299
Adams,4255601248,"District Court, 17th Judicial District",,Priscilla Loew,,0,475,306
Adams,4255601248,"District Court, 17th Judicial District",,Roberto Ramirez,,0,430,349
Adams,4255601248,"District Court, 17th Judicial District",,Mark Douglas Warner,,0,485,293
Adams,4255601248,"County Court, Adams",,Martin J. Flaum II,,0,482,299
Adams,4255601248,"County Court, Adams",,Leroy D. Kirby,,0,504,276
Adams,4255601248,Amendment B (CONSTITUTIONAL),,,,0,403,500
Adams,4255601248,Amendment C (CONSTITUTIONAL),,,,0,422,491
Adams,4255601248,Amendment 76 (CONSTITUTIONAL),,,,0,789,143
Adams,4255601248,Amendment 77 (CONSTITUTIONAL),,,,0,540,367
Adams,4255601248,Proposition EE (STATUTORY),,,,0,468,471
Adams,4255601248,Proposition 113 (STATUTORY),,,,0,264,668
Adams,4255601248,Proposition 114 (STATUTORY),,,,0,328,606
Adams,4255601248,Proposition 115 (STATUTORY),,,,0,590,352
Adams,4255601248,Proposition 116 (STATUTORY),,,,0,686,248
Adams,4255601248,Proposition 117 (STATUTORY),,,,0,559,328
Adams,4255601248,Proposition 118 (STATUTORY),,,,0,355,570
Adams,4255601249,President,,Joseph R. Biden / Kamala D. Harris,Democratic Party,49,0,0
Adams,4255601249,President,,Donald J. Trump / Michael R. Pence,Republican Party,282,0,0
Adams,4255601249,President,,Don Blankenship / William Mohr,American Constitution Party,0,0,0
