county,office,district,party,candidate,votes
Catron,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,1398
Chaves,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,13651
Cibola,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,3131
Colfax,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,2805
Curry,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,9599
De Baca,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,676
Dona Ana,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,28068
Eddy,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,12500
Grant,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,5406
Guadalupe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,620
Harding,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,358
Hidalgo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,936
Lea,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,13347
Lincoln,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,6001
Los Alamos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,5064
Luna,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,3870
McKinley,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,6382
Mora,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,569
Otero,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,12806
Quay,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,2367
Rio Arriba,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,4086
Roosevelt,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,4311
San Juan,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,25193
San Miguel,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,27869
Sandoval,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,2478
Santa Fe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,15807
Sierra,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,3017
Socorro,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,3032
Taos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,2866
Torrance,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,3735
Union,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,1227
Valencia,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,13136
,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,REPUBLICAN PARTY,JOHN MCCAIN and SARAH PALIN,346832
Bernalillo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,481
Catron,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,6
Chaves,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,34
Cibola,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,23
Colfax,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,12
Curry,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,21
De Baca,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,0
Dona Ana,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,138
Eddy,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,28
Grant,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,34
Guadalupe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,6
Harding,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,3
Hidalgo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,4
Lea,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,30
Lincoln,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,16
Los Alamos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,17
Luna,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,13
McKinley,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,59
Mora,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,7
Otero,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,34
Quay,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,13
Rio Arriba,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,23
Roosevelt,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,15
San Juan,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,102
San Miguel,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,82
Sandoval,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,40
Santa Fe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,148
Sierra,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,14
Socorro,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,31
Taos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,46
Torrance,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,15
Union,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,4
Valencia,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,53
,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,GREEN PARTY,CYNTHIA MCKINNEY and ROSA CLEMENTE,1552
Bernalillo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,501
Catron,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,20
Chaves,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,35
Cibola,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,31
Colfax,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,10
Curry,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,23
De Baca,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,0
Dona Ana,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,105
Eddy,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,41
Grant,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,41
Guadalupe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,1
Harding,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,0
Hidalgo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,5
Lea,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,32
Lincoln,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,39
Los Alamos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,19
Luna,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,41
McKinley,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,44
Mora,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,0
Otero,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,76
Quay,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,2
Rio Arriba,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,11
Roosevelt,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,19
San Juan,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,118
San Miguel,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,105
Sandoval,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,12
Santa Fe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,106
Sierra,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,17
Socorro,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,27
Taos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,15
Torrance,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,25
Union,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,5
Valencia,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,71
,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,CONSTITUTION PARTY,CHUCK BALDWIN and DARRELL CASTLE,1597
Bernalillo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,1779
Catron,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,14
Chaves,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,141
Cibola,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,73
Colfax,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,58
Curry,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,92
De Baca,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,7
Dona Ana,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,466
Eddy,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,114
Grant,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,92
Guadalupe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,10
Harding,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,5
Hidalgo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,9
Lea,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,89
Lincoln,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,70
Los Alamos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,77
Luna,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,67
McKinley,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,113
Mora,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,13
Otero,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,159
Quay,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,48
Rio Arriba,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,99
Roosevelt,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,47
San Juan,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,370
San Miguel,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,312
Sandoval,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,74
Santa Fe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,408
Sierra,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,66
Socorro,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,68
Taos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,109
Torrance,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,54
Union,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,11
Valencia,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,213
,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,INDEPENDENT PARTY,RALPH NADER and MATT GONZALEZ,5327
Bernalillo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,940
Catron,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,10
Chaves,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,54
Cibola,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,12
Colfax,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,9
Curry,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,33
De Baca,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,2
Dona Ana,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,221
Eddy,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,59
Grant,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,40
Guadalupe,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,2
Harding,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,0
Hidalgo,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,4
Lea,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,39
Lincoln,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,35
Los Alamos,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,68
Luna,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,38
McKinley,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,37
Mora,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,3
Otero,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,,LIBERTARIAN PARTY,BOB BARR and WAYNE A. ROOT,81
