county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,State Representative,1,,Total Blank Votes,,,,64
County of Hawaii,01-01,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-01,State Representative,1,,Total Ballots,,,,758
County of Hawaii,01-02,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,3
County of Hawaii,01-02,President,,,Total Blank Votes,,,,4
County of Hawaii,01-02,President,,,Total Over Votes,,,,0
County of Hawaii,01-02,President,,,Total Ballots,,,,451
County of Hawaii,01-02,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,1
County of Hawaii,01-02,President,,,Total Blank Votes,,,,4
County of Hawaii,01-02,President,,,Total Over Votes,,,,0
County of Hawaii,01-02,President,,,Total Ballots,,,,451
County of Hawaii,01-02,President,,REP,"McCAIN, John / PALIN, Sarah",,,,103
County of Hawaii,01-02,President,,,Total Blank Votes,,,,4
County of Hawaii,01-02,President,,,Total Over Votes,,,,0
County of Hawaii,01-02,President,,,Total Ballots,,,,451
County of Hawaii,01-02,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,2
County of Hawaii,01-02,President,,,Total Blank Votes,,,,4
County of Hawaii,01-02,President,,,Total Over Votes,,,,0
County of Hawaii,01-02,President,,,Total Ballots,,,,451
County of Hawaii,01-02,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,5
County of Hawaii,01-02,President,,,Total Blank Votes,,,,4
County of Hawaii,01-02,President,,,Total Over Votes,,,,0
County of Hawaii,01-02,President,,,Total Ballots,,,,451
County of Hawaii,01-02,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,333
County of Hawaii,01-02,President,,,Total Blank Votes,,,,4
County of Hawaii,01-02,President,,,Total Over Votes,,,,0
County of Hawaii,01-02,President,,,Total Ballots,,,,451
County of Hawaii,01-02,US Representative,2,REP,"EVANS, Roger B.",,,,79
County of Hawaii,01-02,US Representative,2,,Total Blank Votes,,,,24
County of Hawaii,01-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-02,US Representative,2,,Total Ballots,,,,451
County of Hawaii,01-02,US Representative,2,DEM,"HIRONO, Mazie",,,,327
County of Hawaii,01-02,US Representative,2,,Total Blank Votes,,,,24
County of Hawaii,01-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-02,US Representative,2,,Total Ballots,,,,451
County of Hawaii,01-02,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,11
County of Hawaii,01-02,US Representative,2,,Total Blank Votes,,,,24
County of Hawaii,01-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-02,US Representative,2,,Total Ballots,,,,451
County of Hawaii,01-02,US Representative,2,,"STENSHOL, Shaun",,,,10
County of Hawaii,01-02,US Representative,2,,Total Blank Votes,,,,24
County of Hawaii,01-02,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-02,US Representative,2,,Total Ballots,,,,451
County of Hawaii,01-02,State Representative,1,DEM,"NAKASHIMA, Mark M.",,,,325
County of Hawaii,01-02,State Representative,1,,Total Blank Votes,,,,29
County of Hawaii,01-02,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-02,State Representative,1,,Total Ballots,,,,451
County of Hawaii,01-02,State Representative,1,REP,"OFFENBAKER, Steven A.",,,,97
County of Hawaii,01-02,State Representative,1,,Total Blank Votes,,,,29
County of Hawaii,01-02,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-02,State Representative,1,,Total Ballots,,,,451
County of Hawaii,01-03,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,0
County of Hawaii,01-03,President,,,Total Blank Votes,,,,0
County of Hawaii,01-03,President,,,Total Over Votes,,,,0
County of Hawaii,01-03,President,,,Total Ballots,,,,164
County of Hawaii,01-03,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,0
County of Hawaii,01-03,President,,,Total Blank Votes,,,,0
County of Hawaii,01-03,President,,,Total Over Votes,,,,0
County of Hawaii,01-03,President,,,Total Ballots,,,,164
County of Hawaii,01-03,President,,REP,"McCAIN, John / PALIN, Sarah",,,,19
County of Hawaii,01-03,President,,,Total Blank Votes,,,,0
County of Hawaii,01-03,President,,,Total Over Votes,,,,0
County of Hawaii,01-03,President,,,Total Ballots,,,,164
County of Hawaii,01-03,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,3
County of Hawaii,01-03,President,,,Total Blank Votes,,,,0
County of Hawaii,01-03,President,,,Total Over Votes,,,,0
County of Hawaii,01-03,President,,,Total Ballots,,,,164
County of Hawaii,01-03,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,1
County of Hawaii,01-03,President,,,Total Blank Votes,,,,0
County of Hawaii,01-03,President,,,Total Over Votes,,,,0
County of Hawaii,01-03,President,,,Total Ballots,,,,164
County of Hawaii,01-03,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,141
County of Hawaii,01-03,President,,,Total Blank Votes,,,,0
County of Hawaii,01-03,President,,,Total Over Votes,,,,0
County of Hawaii,01-03,President,,,Total Ballots,,,,164
County of Hawaii,01-03,US Representative,2,REP,"EVANS, Roger B.",,,,17
County of Hawaii,01-03,US Representative,2,,Total Blank Votes,,,,22
County of Hawaii,01-03,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-03,US Representative,2,,Total Ballots,,,,164
County of Hawaii,01-03,US Representative,2,DEM,"HIRONO, Mazie",,,,118
County of Hawaii,01-03,US Representative,2,,Total Blank Votes,,,,22
County of Hawaii,01-03,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-03,US Representative,2,,Total Ballots,,,,164
County of Hawaii,01-03,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,2
County of Hawaii,01-03,US Representative,2,,Total Blank Votes,,,,22
County of Hawaii,01-03,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-03,US Representative,2,,Total Ballots,,,,164
County of Hawaii,01-03,US Representative,2,,"STENSHOL, Shaun",,,,5
County of Hawaii,01-03,US Representative,2,,Total Blank Votes,,,,22
County of Hawaii,01-03,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-03,US Representative,2,,Total Ballots,,,,164
County of Hawaii,01-03,State Senate,1,REP,"HONG, Ted H.S.",,,,41
County of Hawaii,01-03,State Senate,1,,Total Blank Votes,,,,6
County of Hawaii,01-03,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-03,State Senate,1,,Total Ballots,,,,164
County of Hawaii,01-03,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,117
County of Hawaii,01-03,State Senate,1,,Total Blank Votes,,,,6
County of Hawaii,01-03,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-03,State Senate,1,,Total Ballots,,,,164
County of Hawaii,01-03,State Representative,1,DEM,"NAKASHIMA, Mark M.",,,,99
County of Hawaii,01-03,State Representative,1,,Total Blank Votes,,,,16
County of Hawaii,01-03,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-03,State Representative,1,,Total Ballots,,,,164
County of Hawaii,01-03,State Representative,1,REP,"OFFENBAKER, Steven A.",,,,49
County of Hawaii,01-03,State Representative,1,,Total Blank Votes,,,,16
County of Hawaii,01-03,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-03,State Representative,1,,Total Ballots,,,,164
County of Hawaii,01-04,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,8
County of Hawaii,01-04,President,,,Total Blank Votes,,,,5
County of Hawaii,01-04,President,,,Total Over Votes,,,,1
County of Hawaii,01-04,President,,,Total Ballots,,,,1109
County of Hawaii,01-04,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,3
County of Hawaii,01-04,President,,,Total Blank Votes,,,,5
County of Hawaii,01-04,President,,,Total Over Votes,,,,1
County of Hawaii,01-04,President,,,Total Ballots,,,,1109
County of Hawaii,01-04,President,,REP,"McCAIN, John / PALIN, Sarah",,,,220
County of Hawaii,01-04,President,,,Total Blank Votes,,,,5
County of Hawaii,01-04,President,,,Total Over Votes,,,,1
County of Hawaii,01-04,President,,,Total Ballots,,,,1109
County of Hawaii,01-04,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,3
County of Hawaii,01-04,President,,,Total Blank Votes,,,,5
County of Hawaii,01-04,President,,,Total Over Votes,,,,1
County of Hawaii,01-04,President,,,Total Ballots,,,,1109
County of Hawaii,01-04,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,12
County of Hawaii,01-04,President,,,Total Blank Votes,,,,5
County of Hawaii,01-04,President,,,Total Over Votes,,,,1
County of Hawaii,01-04,President,,,Total Ballots,,,,1109
County of Hawaii,01-04,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,857
County of Hawaii,01-04,President,,,Total Blank Votes,,,,5
County of Hawaii,01-04,President,,,Total Over Votes,,,,1
County of Hawaii,01-04,President,,,Total Ballots,,,,1109
County of Hawaii,01-04,US Representative,2,REP,"EVANS, Roger B.",,,,170
County of Hawaii,01-04,US Representative,2,,Total Blank Votes,,,,100
County of Hawaii,01-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-04,US Representative,2,,Total Ballots,,,,1109
County of Hawaii,01-04,US Representative,2,DEM,"HIRONO, Mazie",,,,802
County of Hawaii,01-04,US Representative,2,,Total Blank Votes,,,,100
County of Hawaii,01-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-04,US Representative,2,,Total Ballots,,,,1109
County of Hawaii,01-04,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,19
County of Hawaii,01-04,US Representative,2,,Total Blank Votes,,,,100
County of Hawaii,01-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-04,US Representative,2,,Total Ballots,,,,1109
County of Hawaii,01-04,US Representative,2,,"STENSHOL, Shaun",,,,18
County of Hawaii,01-04,US Representative,2,,Total Blank Votes,,,,100
County of Hawaii,01-04,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-04,US Representative,2,,Total Ballots,,,,1109
County of Hawaii,01-04,State Senate,1,REP,"HONG, Ted H.S.",,,,322
County of Hawaii,01-04,State Senate,1,,Total Blank Votes,,,,48
County of Hawaii,01-04,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-04,State Senate,1,,Total Ballots,,,,1109
County of Hawaii,01-04,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,739
County of Hawaii,01-04,State Senate,1,,Total Blank Votes,,,,48
County of Hawaii,01-04,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-04,State Senate,1,,Total Ballots,,,,1109
County of Hawaii,01-04,State Representative,1,DEM,"NAKASHIMA, Mark M.",,,,623
County of Hawaii,01-04,State Representative,1,,Total Blank Votes,,,,116
County of Hawaii,01-04,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-04,State Representative,1,,Total Ballots,,,,1109
County of Hawaii,01-04,State Representative,1,REP,"OFFENBAKER, Steven A.",,,,370
County of Hawaii,01-04,State Representative,1,,Total Blank Votes,,,,116
County of Hawaii,01-04,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-04,State Representative,1,,Total Ballots,,,,1109
County of Hawaii,01-05,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,2
County of Hawaii,01-05,President,,,Total Blank Votes,,,,0
County of Hawaii,01-05,President,,,Total Over Votes,,,,0
County of Hawaii,01-05,President,,,Total Ballots,,,,429
County of Hawaii,01-05,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,3
County of Hawaii,01-05,President,,,Total Blank Votes,,,,0
County of Hawaii,01-05,President,,,Total Over Votes,,,,0
County of Hawaii,01-05,President,,,Total Ballots,,,,429
County of Hawaii,01-05,President,,REP,"McCAIN, John / PALIN, Sarah",,,,85
County of Hawaii,01-05,President,,,Total Blank Votes,,,,0
County of Hawaii,01-05,President,,,Total Over Votes,,,,0
County of Hawaii,01-05,President,,,Total Ballots,,,,429
County of Hawaii,01-05,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,1
County of Hawaii,01-05,President,,,Total Blank Votes,,,,0
County of Hawaii,01-05,President,,,Total Over Votes,,,,0
County of Hawaii,01-05,President,,,Total Ballots,,,,429
County of Hawaii,01-05,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,2
County of Hawaii,01-05,President,,,Total Blank Votes,,,,0
County of Hawaii,01-05,President,,,Total Over Votes,,,,0
County of Hawaii,01-05,President,,,Total Ballots,,,,429
County of Hawaii,01-05,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,336
County of Hawaii,01-05,President,,,Total Blank Votes,,,,0
County of Hawaii,01-05,President,,,Total Over Votes,,,,0
County of Hawaii,01-05,President,,,Total Ballots,,,,429
County of Hawaii,01-05,US Representative,2,REP,"EVANS, Roger B.",,,,61
County of Hawaii,01-05,US Representative,2,,Total Blank Votes,,,,55
County of Hawaii,01-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-05,US Representative,2,,Total Ballots,,,,429
County of Hawaii,01-05,US Representative,2,DEM,"HIRONO, Mazie",,,,299
County of Hawaii,01-05,US Representative,2,,Total Blank Votes,,,,55
County of Hawaii,01-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-05,US Representative,2,,Total Ballots,,,,429
County of Hawaii,01-05,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,11
County of Hawaii,01-05,US Representative,2,,Total Blank Votes,,,,55
County of Hawaii,01-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-05,US Representative,2,,Total Ballots,,,,429
County of Hawaii,01-05,US Representative,2,,"STENSHOL, Shaun",,,,3
County of Hawaii,01-05,US Representative,2,,Total Blank Votes,,,,55
County of Hawaii,01-05,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-05,US Representative,2,,Total Ballots,,,,429
County of Hawaii,01-05,State Senate,1,REP,"HONG, Ted H.S.",,,,141
County of Hawaii,01-05,State Senate,1,,Total Blank Votes,,,,19
County of Hawaii,01-05,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-05,State Senate,1,,Total Ballots,,,,429
County of Hawaii,01-05,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,269
County of Hawaii,01-05,State Senate,1,,Total Blank Votes,,,,19
County of Hawaii,01-05,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-05,State Senate,1,,Total Ballots,,,,429
County of Hawaii,01-05,State Representative,1,DEM,"NAKASHIMA, Mark M.",,,,221
County of Hawaii,01-05,State Representative,1,,Total Blank Votes,,,,56
County of Hawaii,01-05,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-05,State Representative,1,,Total Ballots,,,,429
County of Hawaii,01-05,State Representative,1,REP,"OFFENBAKER, Steven A.",,,,152
County of Hawaii,01-05,State Representative,1,,Total Blank Votes,,,,56
County of Hawaii,01-05,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-05,State Representative,1,,Total Ballots,,,,429
County of Hawaii,01-06,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,0
County of Hawaii,01-06,President,,,Total Blank Votes,,,,0
County of Hawaii,01-06,President,,,Total Over Votes,,,,0
County of Hawaii,01-06,President,,,Total Ballots,,,,82
County of Hawaii,01-06,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,0
County of Hawaii,01-06,President,,,Total Blank Votes,,,,0
County of Hawaii,01-06,President,,,Total Over Votes,,,,0
County of Hawaii,01-06,President,,,Total Ballots,,,,82
County of Hawaii,01-06,President,,REP,"McCAIN, John / PALIN, Sarah",,,,11
County of Hawaii,01-06,President,,,Total Blank Votes,,,,0
County of Hawaii,01-06,President,,,Total Over Votes,,,,0
County of Hawaii,01-06,President,,,Total Ballots,,,,82
County of Hawaii,01-06,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,0
County of Hawaii,01-06,President,,,Total Blank Votes,,,,0
County of Hawaii,01-06,President,,,Total Over Votes,,,,0
County of Hawaii,01-06,President,,,Total Ballots,,,,82
County of Hawaii,01-06,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,0
County of Hawaii,01-06,President,,,Total Blank Votes,,,,0
County of Hawaii,01-06,President,,,Total Over Votes,,,,0
County of Hawaii,01-06,President,,,Total Ballots,,,,82
County of Hawaii,01-06,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,71
County of Hawaii,01-06,President,,,Total Blank Votes,,,,0
County of Hawaii,01-06,President,,,Total Over Votes,,,,0
County of Hawaii,01-06,President,,,Total Ballots,,,,82
County of Hawaii,01-06,US Representative,2,REP,"EVANS, Roger B.",,,,11
County of Hawaii,01-06,US Representative,2,,Total Blank Votes,,,,4
County of Hawaii,01-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-06,US Representative,2,,Total Ballots,,,,82
County of Hawaii,01-06,US Representative,2,DEM,"HIRONO, Mazie",,,,62
County of Hawaii,01-06,US Representative,2,,Total Blank Votes,,,,4
County of Hawaii,01-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-06,US Representative,2,,Total Ballots,,,,82
County of Hawaii,01-06,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,2
County of Hawaii,01-06,US Representative,2,,Total Blank Votes,,,,4
County of Hawaii,01-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-06,US Representative,2,,Total Ballots,,,,82
County of Hawaii,01-06,US Representative,2,,"STENSHOL, Shaun",,,,3
County of Hawaii,01-06,US Representative,2,,Total Blank Votes,,,,4
County of Hawaii,01-06,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-06,US Representative,2,,Total Ballots,,,,82
County of Hawaii,01-06,State Senate,1,REP,"HONG, Ted H.S.",,,,34
County of Hawaii,01-06,State Senate,1,,Total Blank Votes,,,,3
County of Hawaii,01-06,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-06,State Senate,1,,Total Ballots,,,,82
County of Hawaii,01-06,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,45
County of Hawaii,01-06,State Senate,1,,Total Blank Votes,,,,3
County of Hawaii,01-06,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-06,State Senate,1,,Total Ballots,,,,82
County of Hawaii,01-06,State Representative,1,DEM,"NAKASHIMA, Mark M.",,,,51
County of Hawaii,01-06,State Representative,1,,Total Blank Votes,,,,7
County of Hawaii,01-06,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-06,State Representative,1,,Total Ballots,,,,82
County of Hawaii,01-06,State Representative,1,REP,"OFFENBAKER, Steven A.",,,,24
County of Hawaii,01-06,State Representative,1,,Total Blank Votes,,,,7
County of Hawaii,01-06,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-06,State Representative,1,,Total Ballots,,,,82
County of Hawaii,01-07,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,2
County of Hawaii,01-07,President,,,Total Blank Votes,,,,2
County of Hawaii,01-07,President,,,Total Over Votes,,,,1
County of Hawaii,01-07,President,,,Total Ballots,,,,336
County of Hawaii,01-07,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,1
County of Hawaii,01-07,President,,,Total Blank Votes,,,,2
County of Hawaii,01-07,President,,,Total Over Votes,,,,1
County of Hawaii,01-07,President,,,Total Ballots,,,,336
County of Hawaii,01-07,President,,REP,"McCAIN, John / PALIN, Sarah",,,,69
County of Hawaii,01-07,President,,,Total Blank Votes,,,,2
County of Hawaii,01-07,President,,,Total Over Votes,,,,1
County of Hawaii,01-07,President,,,Total Ballots,,,,336
County of Hawaii,01-07,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,2
County of Hawaii,01-07,President,,,Total Blank Votes,,,,2
County of Hawaii,01-07,President,,,Total Over Votes,,,,1
County of Hawaii,01-07,President,,,Total Ballots,,,,336
County of Hawaii,01-07,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,4
County of Hawaii,01-07,President,,,Total Blank Votes,,,,2
County of Hawaii,01-07,President,,,Total Over Votes,,,,1
County of Hawaii,01-07,President,,,Total Ballots,,,,336
County of Hawaii,01-07,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,255
County of Hawaii,01-07,President,,,Total Blank Votes,,,,2
County of Hawaii,01-07,President,,,Total Over Votes,,,,1
County of Hawaii,01-07,President,,,Total Ballots,,,,336
County of Hawaii,01-07,US Representative,2,REP,"EVANS, Roger B.",,,,62
County of Hawaii,01-07,US Representative,2,,Total Blank Votes,,,,33
County of Hawaii,01-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-07,US Representative,2,,Total Ballots,,,,336
County of Hawaii,01-07,US Representative,2,DEM,"HIRONO, Mazie",,,,227
County of Hawaii,01-07,US Representative,2,,Total Blank Votes,,,,33
County of Hawaii,01-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-07,US Representative,2,,Total Ballots,,,,336
County of Hawaii,01-07,US Representative,2,LIB,"MALLAN, Lloyd J. (Jeff)",,,,9
County of Hawaii,01-07,US Representative,2,,Total Blank Votes,,,,33
County of Hawaii,01-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-07,US Representative,2,,Total Ballots,,,,336
County of Hawaii,01-07,US Representative,2,,"STENSHOL, Shaun",,,,5
County of Hawaii,01-07,US Representative,2,,Total Blank Votes,,,,33
County of Hawaii,01-07,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-07,US Representative,2,,Total Ballots,,,,336
County of Hawaii,01-07,State Senate,1,REP,"HONG, Ted H.S.",,,,125
County of Hawaii,01-07,State Senate,1,,Total Blank Votes,,,,14
County of Hawaii,01-07,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-07,State Senate,1,,Total Ballots,,,,336
County of Hawaii,01-07,State Senate,1,DEM,"TAKAMINE, Dwight Y.",,,,197
County of Hawaii,01-07,State Senate,1,,Total Blank Votes,,,,14
County of Hawaii,01-07,State Senate,1,,Total Over Votes,,,,0
County of Hawaii,01-07,State Senate,1,,Total Ballots,,,,336
County of Hawaii,01-07,State Representative,1,DEM,"NAKASHIMA, Mark M.",,,,165
County of Hawaii,01-07,State Representative,1,,Total Blank Votes,,,,38
County of Hawaii,01-07,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-07,State Representative,1,,Total Ballots,,,,336
County of Hawaii,01-07,State Representative,1,REP,"OFFENBAKER, Steven A.",,,,133
County of Hawaii,01-07,State Representative,1,,Total Blank Votes,,,,38
County of Hawaii,01-07,State Representative,1,,Total Over Votes,,,,0
County of Hawaii,01-07,State Representative,1,,Total Ballots,,,,336
County of Hawaii,01-08,President,,CON,"BALDWIN, Chuck / CASTLE, Darrell L.",,,,1
County of Hawaii,01-08,President,,,Total Blank Votes,,,,0
County of Hawaii,01-08,President,,,Total Over Votes,,,,0
County of Hawaii,01-08,President,,,Total Ballots,,,,144
County of Hawaii,01-08,President,,LIB,"BARR, Bob / ROOT, Wayne A.",,,,1
County of Hawaii,01-08,President,,,Total Blank Votes,,,,0
County of Hawaii,01-08,President,,,Total Over Votes,,,,0
County of Hawaii,01-08,President,,,Total Ballots,,,,144
County of Hawaii,01-08,President,,REP,"McCAIN, John / PALIN, Sarah",,,,31
County of Hawaii,01-08,President,,,Total Blank Votes,,,,0
County of Hawaii,01-08,President,,,Total Over Votes,,,,0
County of Hawaii,01-08,President,,,Total Ballots,,,,144
County of Hawaii,01-08,President,,GRE,"McKINNEY, Cynthia / CLEMENTE, Rosa",,,,0
County of Hawaii,01-08,President,,,Total Blank Votes,,,,0
County of Hawaii,01-08,President,,,Total Over Votes,,,,0
County of Hawaii,01-08,President,,,Total Ballots,,,,144
County of Hawaii,01-08,President,,IND,"NADER, Ralph / GONZALEZ, Matt",,,,3
County of Hawaii,01-08,President,,,Total Blank Votes,,,,0
County of Hawaii,01-08,President,,,Total Over Votes,,,,0
County of Hawaii,01-08,President,,,Total Ballots,,,,144
County of Hawaii,01-08,President,,DEM,"OBAMA, Barack / BIDEN, Joe",,,,108
County of Hawaii,01-08,President,,,Total Blank Votes,,,,0
County of Hawaii,01-08,President,,,Total Over Votes,,,,0
County of Hawaii,01-08,President,,,Total Ballots,,,,144
County of Hawaii,01-08,US Representative,2,REP,"EVANS, Roger B.",,,,26
County of Hawaii,01-08,US Representative,2,,Total Blank Votes,,,,17
County of Hawaii,01-08,US Representative,2,,Total Over Votes,,,,0
County of Hawaii,01-08,US Representative,2,,Total Ballots,,,,144
County of Hawaii,01-08,US Representative,2,DEM,"HIRONO, Mazie",,,,92
