county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-02,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-02,State Senate,3,D,"ISBELL, Virginia",0,0,36,36
County of Hawaii,01-02,State Senate,3,D,"GREEN, Josh",0,0,195,195
County of Hawaii,01-02,State Representative,1,D,"FUJIYAMA, Ken",0,0,35,35
County of Hawaii,01-02,State Representative,1,D,"KIM, Jo",0,0,72,72
County of Hawaii,01-02,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,86,86
County of Hawaii,01-02,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,14,14
County of Hawaii,01-02,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,13,13
County of Hawaii,01-02,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,10,10
County of Hawaii,01-03,Straight Party,,,DEMOCRATIC PARTY (D),0,0,82,82
County of Hawaii,01-03,Straight Party,,,INDEPENDENT PARTY (I),0,0,4,4
County of Hawaii,01-03,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-03,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,01-03,Straight Party,,,REPUBLICAN PARTY (R),0,0,11,11
County of Hawaii,01-03,US Representative,2,I,"STENSHOL, Shaun",0,0,3,3
County of Hawaii,01-03,US Representative,2,D,"HIRONO, Mazie",0,0,55,55
County of Hawaii,01-03,US Representative,2,R,"EVANS, Roger B.",0,0,6,6
County of Hawaii,01-03,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,01-03,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,61,61
County of Hawaii,01-03,State Senate,1,R,"HONG, Ted H.S.",0,0,9,9
County of Hawaii,01-03,State Representative,1,D,"FUJIYAMA, Ken",0,0,7,7
County of Hawaii,01-03,State Representative,1,D,"KIM, Jo",0,0,32,32
County of Hawaii,01-03,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,24,24
County of Hawaii,01-03,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,6,6
County of Hawaii,01-03,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,7,7
County of Hawaii,01-03,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,0,0
County of Hawaii,01-04,Straight Party,,,DEMOCRATIC PARTY (D),0,0,582,582
County of Hawaii,01-04,Straight Party,,,INDEPENDENT PARTY (I),0,0,2,2
County of Hawaii,01-04,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-04,Straight Party,,,NONPARTISAN BALLOT (N),0,0,2,2
County of Hawaii,01-04,Straight Party,,,REPUBLICAN PARTY (R),0,0,58,58
County of Hawaii,01-04,US Representative,2,I,"STENSHOL, Shaun",0,0,2,2
County of Hawaii,01-04,US Representative,2,D,"HIRONO, Mazie",0,0,401,401
County of Hawaii,01-04,US Representative,2,R,"EVANS, Roger B.",0,0,30,30
County of Hawaii,01-04,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,01-04,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,472,472
County of Hawaii,01-04,State Senate,1,R,"HONG, Ted H.S.",0,0,50,50
County of Hawaii,01-04,State Representative,1,D,"FUJIYAMA, Ken",0,0,30,30
County of Hawaii,01-04,State Representative,1,D,"KIM, Jo",0,0,252,252
County of Hawaii,01-04,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,250,250
County of Hawaii,01-04,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,13,13
County of Hawaii,01-04,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,39,39
County of Hawaii,01-04,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,10,10
County of Hawaii,01-05,Straight Party,,,DEMOCRATIC PARTY (D),0,0,246,246
County of Hawaii,01-05,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-05,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-05,Straight Party,,,NONPARTISAN BALLOT (N),0,0,6,6
County of Hawaii,01-05,Straight Party,,,REPUBLICAN PARTY (R),0,0,23,23
County of Hawaii,01-05,US Representative,2,I,"STENSHOL, Shaun",0,0,1,1
County of Hawaii,01-05,US Representative,2,D,"HIRONO, Mazie",0,0,162,162
County of Hawaii,01-05,US Representative,2,R,"EVANS, Roger B.",0,0,13,13
County of Hawaii,01-05,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,01-05,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,191,191
County of Hawaii,01-05,State Senate,1,R,"HONG, Ted H.S.",0,0,22,22
County of Hawaii,01-05,State Representative,1,D,"FUJIYAMA, Ken",0,0,22,22
County of Hawaii,01-05,State Representative,1,D,"KIM, Jo",0,0,121,121
County of Hawaii,01-05,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,79,79
County of Hawaii,01-05,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,6,6
County of Hawaii,01-05,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,12,12
County of Hawaii,01-05,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,4,4
County of Hawaii,01-06,Straight Party,,,DEMOCRATIC PARTY (D),0,0,56,56
County of Hawaii,01-06,Straight Party,,,INDEPENDENT PARTY (I),0,0,0,0
County of Hawaii,01-06,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-06,Straight Party,,,NONPARTISAN BALLOT (N),0,0,0,0
County of Hawaii,01-06,Straight Party,,,REPUBLICAN PARTY (R),0,0,10,10
County of Hawaii,01-06,US Representative,2,I,"STENSHOL, Shaun",0,0,0,0
County of Hawaii,01-06,US Representative,2,D,"HIRONO, Mazie",0,0,42,42
County of Hawaii,01-06,US Representative,2,R,"EVANS, Roger B.",0,0,8,8
County of Hawaii,01-06,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-06,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,42,42
County of Hawaii,01-06,State Senate,1,R,"HONG, Ted H.S.",0,0,8,8
County of Hawaii,01-06,State Representative,1,D,"FUJIYAMA, Ken",0,0,7,7
County of Hawaii,01-06,State Representative,1,D,"KIM, Jo",0,0,12,12
County of Hawaii,01-06,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,33,33
County of Hawaii,01-06,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,1,1
County of Hawaii,01-06,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,8,8
County of Hawaii,01-06,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,1,1
County of Hawaii,01-07,Straight Party,,,DEMOCRATIC PARTY (D),0,0,185,185
County of Hawaii,01-07,Straight Party,,,INDEPENDENT PARTY (I),0,0,0,0
County of Hawaii,01-07,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-07,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,01-07,Straight Party,,,REPUBLICAN PARTY (R),0,0,28,28
County of Hawaii,01-07,US Representative,2,I,"STENSHOL, Shaun",0,0,0,0
County of Hawaii,01-07,US Representative,2,D,"HIRONO, Mazie",0,0,132,132
County of Hawaii,01-07,US Representative,2,R,"EVANS, Roger B.",0,0,20,20
County of Hawaii,01-07,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-07,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,161,161
County of Hawaii,01-07,State Senate,1,R,"HONG, Ted H.S.",0,0,25,25
County of Hawaii,01-07,State Representative,1,D,"FUJIYAMA, Ken",0,0,29,29
County of Hawaii,01-07,State Representative,1,D,"KIM, Jo",0,0,61,61
County of Hawaii,01-07,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,58,58
County of Hawaii,01-07,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,8,8
County of Hawaii,01-07,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,19,19
County of Hawaii,01-07,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,4,4
County of Hawaii,01-08,Straight Party,,,DEMOCRATIC PARTY (D),0,0,73,73
County of Hawaii,01-08,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-08,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-08,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,01-08,Straight Party,,,REPUBLICAN PARTY (R),0,0,21,21
County of Hawaii,01-08,US Representative,2,I,"STENSHOL, Shaun",0,0,1,1
County of Hawaii,01-08,US Representative,2,D,"HIRONO, Mazie",0,0,51,51
County of Hawaii,01-08,US Representative,2,R,"EVANS, Roger B.",0,0,14,14
County of Hawaii,01-08,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-08,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,55,55
County of Hawaii,01-08,State Senate,1,R,"HONG, Ted H.S.",0,0,19,19
County of Hawaii,01-08,State Representative,1,D,"FUJIYAMA, Ken",0,0,8,8
County of Hawaii,01-08,State Representative,1,D,"KIM, Jo",0,0,20,20
County of Hawaii,01-08,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,28,28
County of Hawaii,01-08,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,6,6
County of Hawaii,01-08,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,15,15
County of Hawaii,01-08,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,2,2
County of Hawaii,01-09,Straight Party,,,DEMOCRATIC PARTY (D),0,0,74,74
County of Hawaii,01-09,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-09,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-09,Straight Party,,,NONPARTISAN BALLOT (N),0,0,0,0
County of Hawaii,01-09,Straight Party,,,REPUBLICAN PARTY (R),0,0,8,8
County of Hawaii,01-09,US Representative,2,I,"STENSHOL, Shaun",0,0,1,1
County of Hawaii,01-09,US Representative,2,D,"HIRONO, Mazie",0,0,56,56
County of Hawaii,01-09,US Representative,2,R,"EVANS, Roger B.",0,0,5,5
County of Hawaii,01-09,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-09,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,63,63
County of Hawaii,01-09,State Senate,1,R,"HONG, Ted H.S.",0,0,6,6
County of Hawaii,01-09,State Representative,1,D,"FUJIYAMA, Ken",0,0,24,24
County of Hawaii,01-09,State Representative,1,D,"KIM, Jo",0,0,18,18
County of Hawaii,01-09,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,25,25
County of Hawaii,01-09,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,2,2
County of Hawaii,01-09,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,5,5
County of Hawaii,01-09,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,3,3
County of Hawaii,01-10,Straight Party,,,DEMOCRATIC PARTY (D),0,0,116,116
County of Hawaii,01-10,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-10,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-10,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,01-10,Straight Party,,,REPUBLICAN PARTY (R),0,0,18,18
County of Hawaii,01-10,US Representative,2,I,"STENSHOL, Shaun",0,0,0,0
County of Hawaii,01-10,US Representative,2,D,"HIRONO, Mazie",0,0,77,77
County of Hawaii,01-10,US Representative,2,R,"EVANS, Roger B.",0,0,9,9
County of Hawaii,01-10,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-10,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,99,99
County of Hawaii,01-10,State Senate,1,R,"HONG, Ted H.S.",0,0,17,17
County of Hawaii,01-10,State Representative,1,D,"FUJIYAMA, Ken",0,0,22,22
County of Hawaii,01-10,State Representative,1,D,"KIM, Jo",0,0,22,22
County of Hawaii,01-10,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,43,43
County of Hawaii,01-10,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,4,4
County of Hawaii,01-10,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,8,8
County of Hawaii,01-10,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,3,3
County of Hawaii,01-11,Straight Party,,,DEMOCRATIC PARTY (D),0,0,313,313
County of Hawaii,01-11,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-11,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-11,Straight Party,,,NONPARTISAN BALLOT (N),0,0,5,5
County of Hawaii,01-11,Straight Party,,,REPUBLICAN PARTY (R),0,0,17,17
County of Hawaii,01-11,US Representative,2,I,"STENSHOL, Shaun",0,0,1,1
County of Hawaii,01-11,US Representative,2,D,"HIRONO, Mazie",0,0,247,247
County of Hawaii,01-11,US Representative,2,R,"EVANS, Roger B.",0,0,14,14
County of Hawaii,01-11,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-11,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,283,283
County of Hawaii,01-11,State Senate,1,R,"HONG, Ted H.S.",0,0,15,15
County of Hawaii,01-11,State Representative,1,D,"FUJIYAMA, Ken",0,0,52,52
County of Hawaii,01-11,State Representative,1,D,"KIM, Jo",0,0,51,51
County of Hawaii,01-11,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,170,170
County of Hawaii,01-11,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,12,12
County of Hawaii,01-11,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,11,11
County of Hawaii,01-11,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,2,2
County of Hawaii,01-12,Straight Party,,,DEMOCRATIC PARTY (D),0,0,228,228
County of Hawaii,01-12,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-12,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-12,Straight Party,,,NONPARTISAN BALLOT (N),0,0,3,3
County of Hawaii,01-12,Straight Party,,,REPUBLICAN PARTY (R),0,0,56,56
County of Hawaii,01-12,US Representative,2,I,"STENSHOL, Shaun",0,0,1,1
County of Hawaii,01-12,US Representative,2,D,"HIRONO, Mazie",0,0,170,170
County of Hawaii,01-12,US Representative,2,R,"EVANS, Roger B.",0,0,25,25
County of Hawaii,01-12,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-12,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,176,176
County of Hawaii,01-12,State Senate,1,R,"HONG, Ted H.S.",0,0,43,43
County of Hawaii,01-12,State Representative,1,D,"FUJIYAMA, Ken",0,0,64,64
County of Hawaii,01-12,State Representative,1,D,"KIM, Jo",0,0,39,39
County of Hawaii,01-12,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,91,91
County of Hawaii,01-12,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,8,8
County of Hawaii,01-12,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,20,20
County of Hawaii,01-12,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,19,19
County of Hawaii,01-13,Straight Party,,,DEMOCRATIC PARTY (D),0,0,317,317
County of Hawaii,01-13,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-13,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,01-13,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,01-13,Straight Party,,,REPUBLICAN PARTY (R),0,0,47,47
County of Hawaii,01-13,US Representative,2,I,"STENSHOL, Shaun",0,0,0,0
County of Hawaii,01-13,US Representative,2,D,"HIRONO, Mazie",0,0,213,213
County of Hawaii,01-13,US Representative,2,R,"EVANS, Roger B.",0,0,26,26
County of Hawaii,01-13,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,01-13,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,231,231
County of Hawaii,01-13,State Senate,1,R,"HONG, Ted H.S.",0,0,42,42
County of Hawaii,01-13,State Representative,1,D,"FUJIYAMA, Ken",0,0,81,81
County of Hawaii,01-13,State Representative,1,D,"KIM, Jo",0,0,63,63
County of Hawaii,01-13,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,114,114
County of Hawaii,01-13,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,17,17
County of Hawaii,01-13,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,10,10
County of Hawaii,01-13,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,14,14
County of Hawaii,01-14,Straight Party,,,DEMOCRATIC PARTY (D),0,0,97,97
County of Hawaii,01-14,Straight Party,,,INDEPENDENT PARTY (I),0,0,1,1
County of Hawaii,01-14,Straight Party,,,LIBERTARIAN PARTY (L),0,0,0,0
County of Hawaii,01-14,Straight Party,,,NONPARTISAN BALLOT (N),0,0,3,3
County of Hawaii,01-14,Straight Party,,,REPUBLICAN PARTY (R),0,0,16,16
County of Hawaii,01-14,US Representative,2,I,"STENSHOL, Shaun",0,0,1,1
County of Hawaii,01-14,US Representative,2,D,"HIRONO, Mazie",0,0,81,81
County of Hawaii,01-14,US Representative,2,R,"EVANS, Roger B.",0,0,14,14
County of Hawaii,01-14,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,0,0
County of Hawaii,01-14,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,72,72
County of Hawaii,01-14,State Senate,1,R,"HONG, Ted H.S.",0,0,14,14
County of Hawaii,01-14,State Representative,1,D,"FUJIYAMA, Ken",0,0,29,29
County of Hawaii,01-14,State Representative,1,D,"KIM, Jo",0,0,23,23
County of Hawaii,01-14,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,16,16
County of Hawaii,01-14,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,11,11
County of Hawaii,01-14,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,9,9
County of Hawaii,01-14,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,6,6
County of Hawaii,01-15,Straight Party,,,DEMOCRATIC PARTY (D),0,0,95,95
County of Hawaii,01-15,Straight Party,,,INDEPENDENT PARTY (I),0,0,0,0
County of Hawaii,01-15,Straight Party,,,LIBERTARIAN PARTY (L),0,0,3,3
County of Hawaii,01-15,Straight Party,,,NONPARTISAN BALLOT (N),0,0,0,0
County of Hawaii,01-15,Straight Party,,,REPUBLICAN PARTY (R),0,0,23,23
County of Hawaii,01-15,US Representative,2,I,"STENSHOL, Shaun",0,0,0,0
County of Hawaii,01-15,US Representative,2,D,"HIRONO, Mazie",0,0,82,82
County of Hawaii,01-15,US Representative,2,R,"EVANS, Roger B.",0,0,23,23
County of Hawaii,01-15,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,3,3
County of Hawaii,01-15,State Senate,3,D,"ISBELL, Virginia",0,0,14,14
County of Hawaii,01-15,State Senate,3,D,"GREEN, Josh",0,0,73,73
County of Hawaii,01-15,State Representative,1,D,"FUJIYAMA, Ken",0,0,7,7
County of Hawaii,01-15,State Representative,1,D,"KIM, Jo",0,0,30,30
County of Hawaii,01-15,State Representative,1,D,"NAKASHIMA, Mark M.",0,0,30,30
County of Hawaii,01-15,State Representative,1,D,"NAKKIM, Lynn (Kalama)",0,0,12,12
County of Hawaii,01-15,State Representative,1,R,"OFFENBAKER, Steven A.",0,0,7,7
County of Hawaii,01-15,State Representative,1,R,"WEINERT, Eric, Jr. (Drake)",0,0,12,12
County of Hawaii,02-01,Straight Party,,,DEMOCRATIC PARTY (D),0,0,683,683
County of Hawaii,02-01,Straight Party,,,INDEPENDENT PARTY (I),0,0,5,5
County of Hawaii,02-01,Straight Party,,,LIBERTARIAN PARTY (L),0,0,3,3
County of Hawaii,02-01,Straight Party,,,NONPARTISAN BALLOT (N),0,0,3,3
County of Hawaii,02-01,Straight Party,,,REPUBLICAN PARTY (R),0,0,135,135
County of Hawaii,02-01,US Representative,2,I,"STENSHOL, Shaun",0,0,3,3
County of Hawaii,02-01,US Representative,2,D,"HIRONO, Mazie",0,0,480,480
County of Hawaii,02-01,US Representative,2,R,"EVANS, Roger B.",0,0,44,44
County of Hawaii,02-01,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,02-01,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,476,476
County of Hawaii,02-01,State Senate,1,R,"HONG, Ted H.S.",0,0,124,124
County of Hawaii,02-01,State Representative,2,D,"CHANG, Jerry Leslie",0,0,420,420
County of Hawaii,02-02,Straight Party,,,DEMOCRATIC PARTY (D),0,0,367,367
County of Hawaii,02-02,Straight Party,,,INDEPENDENT PARTY (I),0,0,2,2
County of Hawaii,02-02,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,02-02,Straight Party,,,NONPARTISAN BALLOT (N),0,0,6,6
County of Hawaii,02-02,Straight Party,,,REPUBLICAN PARTY (R),0,0,77,77
County of Hawaii,02-02,US Representative,2,I,"STENSHOL, Shaun",0,0,2,2
County of Hawaii,02-02,US Representative,2,D,"HIRONO, Mazie",0,0,264,264
County of Hawaii,02-02,US Representative,2,R,"EVANS, Roger B.",0,0,29,29
County of Hawaii,02-02,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,02-02,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,252,252
County of Hawaii,02-02,State Senate,1,R,"HONG, Ted H.S.",0,0,72,72
County of Hawaii,02-02,State Representative,2,D,"CHANG, Jerry Leslie",0,0,253,253
County of Hawaii,02-03,Straight Party,,,DEMOCRATIC PARTY (D),0,0,520,520
County of Hawaii,02-03,Straight Party,,,INDEPENDENT PARTY (I),0,0,4,4
County of Hawaii,02-03,Straight Party,,,LIBERTARIAN PARTY (L),0,0,1,1
County of Hawaii,02-03,Straight Party,,,NONPARTISAN BALLOT (N),0,0,6,6
County of Hawaii,02-03,Straight Party,,,REPUBLICAN PARTY (R),0,0,107,107
County of Hawaii,02-03,US Representative,2,I,"STENSHOL, Shaun",0,0,4,4
County of Hawaii,02-03,US Representative,2,D,"HIRONO, Mazie",0,0,390,390
County of Hawaii,02-03,US Representative,2,R,"EVANS, Roger B.",0,0,49,49
County of Hawaii,02-03,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,1,1
County of Hawaii,02-03,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,367,367
County of Hawaii,02-03,State Senate,1,R,"HONG, Ted H.S.",0,0,96,96
County of Hawaii,02-03,State Representative,2,D,"CHANG, Jerry Leslie",0,0,352,352
County of Hawaii,02-04,Straight Party,,,DEMOCRATIC PARTY (D),0,0,129,129
County of Hawaii,02-04,Straight Party,,,INDEPENDENT PARTY (I),0,0,2,2
County of Hawaii,02-04,Straight Party,,,LIBERTARIAN PARTY (L),0,0,2,2
County of Hawaii,02-04,Straight Party,,,NONPARTISAN BALLOT (N),0,0,1,1
County of Hawaii,02-04,Straight Party,,,REPUBLICAN PARTY (R),0,0,30,30
County of Hawaii,02-04,US Representative,2,I,"STENSHOL, Shaun",0,0,2,2
County of Hawaii,02-04,US Representative,2,D,"HIRONO, Mazie",0,0,92,92
County of Hawaii,02-04,US Representative,2,R,"EVANS, Roger B.",0,0,17,17
County of Hawaii,02-04,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,2,2
County of Hawaii,02-04,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,85,85
County of Hawaii,02-04,State Senate,1,R,"HONG, Ted H.S.",0,0,25,25
County of Hawaii,02-04,State Representative,2,D,"CHANG, Jerry Leslie",0,0,73,73
County of Hawaii,02-05,Straight Party,,,DEMOCRATIC PARTY (D),0,0,224,224
County of Hawaii,02-05,Straight Party,,,INDEPENDENT PARTY (I),0,0,3,3
County of Hawaii,02-05,Straight Party,,,LIBERTARIAN PARTY (L),0,0,4,4
County of Hawaii,02-05,Straight Party,,,NONPARTISAN BALLOT (N),0,0,3,3
County of Hawaii,02-05,Straight Party,,,REPUBLICAN PARTY (R),0,0,32,32
County of Hawaii,02-05,US Representative,2,I,"STENSHOL, Shaun",0,0,3,3
County of Hawaii,02-05,US Representative,2,D,"HIRONO, Mazie",0,0,169,169
County of Hawaii,02-05,US Representative,2,R,"EVANS, Roger B.",0,0,14,14
County of Hawaii,02-05,US Representative,2,L,"MALLAN, Lloyd J. (Jeff)",0,0,4,4
County of Hawaii,02-05,State Senate,1,D,"TAKAMINE, Dwight Y.",0,0,136,136
County of Hawaii,02-05,State Senate,1,R,"HONG, Ted H.S.",0,0,26,26
County of Hawaii,02-05,State Representative,2,D,"CHANG, Jerry Leslie",0,0,125,125
County of Hawaii,02-06,Straight Party,,,DEMOCRATIC PARTY (D),0,0,335,335
County of Hawaii,02-06,Straight Party,,,INDEPENDENT PARTY (I),0,0,5,5
