county,precinct,office,district,candidate,party,votes,mail,election_day,early_voting
Salt Lake,DRP028,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,40,40,0,0
Salt Lake,DRP029,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,28,28,0,0
Salt Lake,DRP029,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,35,35,0,0
Salt Lake,DRP030,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,22,22,0,0
Salt Lake,DRP030,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,25,25,0,0
Salt Lake,DRP031,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,16,16,0,0
Salt Lake,DRP031,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,25,25,0,0
Salt Lake,DRP032,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,1,1,0,0
Salt Lake,DRP032,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,2,2,0,0
Salt Lake,GNT001,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,8,8,0,0
Salt Lake,GNT001,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,1,1,0,0
Salt Lake,GNT004,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,13,13,0,0
Salt Lake,GNT004,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,11,11,0,0
Salt Lake,GNT006,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,8,8,0,0
Salt Lake,GNT006,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,9,9,0,0
Salt Lake,LTC001,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,1,1,0,0
Salt Lake,LTC001,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,2,2,0,0
Salt Lake,LTC003,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,2,2,0,0
Salt Lake,LTC003,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,0,0,0,0
Salt Lake,MID001,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,60,59,1,0
Salt Lake,MID001,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,85,85,0,0
Salt Lake,MID002,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,37,37,0,0
Salt Lake,MID002,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,43,43,0,0
Salt Lake,MID003,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,60,60,0,0
Salt Lake,MID003,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,58,57,1,0
Salt Lake,MID005,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,14,14,0,0
Salt Lake,MID005,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,36,36,0,0
Salt Lake,MID006,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,39,39,0,0
Salt Lake,MID006,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,29,29,0,0
Salt Lake,MID009,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,7,7,0,0
Salt Lake,MID009,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,9,9,0,0
Salt Lake,MID010,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,32,32,0,0
Salt Lake,MID010,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,26,26,0,0
Salt Lake,MID011,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,49,49,0,0
Salt Lake,MID011,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,58,58,0,0
Salt Lake,MID013,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,17,17,0,0
Salt Lake,MID013,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,38,38,0,0
Salt Lake,MID014,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,0,0,0,0
Salt Lake,MID014,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,0,0,0,0
Salt Lake,MID015,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,23,23,0,0
Salt Lake,MID015,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,42,42,0,0
Salt Lake,MID016,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,24,24,0,0
Salt Lake,MID016,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,19,18,1,0
Salt Lake,MID019,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,23,23,0,0
Salt Lake,MID019,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,35,35,0,0
Salt Lake,MID022,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,45,45,0,0
Salt Lake,MID022,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,57,56,1,0
Salt Lake,MID024,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,54,54,0,0
Salt Lake,MID024,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,51,50,1,0
Salt Lake,MID025,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,18,16,2,0
Salt Lake,MID025,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,18,18,0,0
Salt Lake,MID027,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,20,20,0,0
Salt Lake,MID027,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,19,19,0,0
Salt Lake,MID028,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,29,29,0,0
Salt Lake,MID028,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,39,39,0,0
Salt Lake,MID029,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,28,28,0,0
Salt Lake,MID029,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,36,35,1,0
Salt Lake,MID030,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,8,8,0,0
Salt Lake,MID030,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,25,25,0,0
Salt Lake,SAN001,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,47,47,0,0
Salt Lake,SAN001,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,42,42,0,0
Salt Lake,SAN002,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,7,7,0,0
Salt Lake,SAN002,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,11,11,0,0
Salt Lake,SAN003,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,8,8,0,0
Salt Lake,SAN003,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,13,13,0,0
Salt Lake,SAN004,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,29,29,0,0
Salt Lake,SAN004,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,31,31,0,0
Salt Lake,SAN005,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,38,37,1,0
Salt Lake,SAN005,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,52,52,0,0
Salt Lake,SAN006,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,12,12,0,0
Salt Lake,SAN006,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,29,29,0,0
Salt Lake,SAN007,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,11,11,0,0
Salt Lake,SAN007,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,8,8,0,0
Salt Lake,SAN009,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,38,38,0,0
Salt Lake,SAN009,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,55,54,1,0
Salt Lake,SAN010,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,5,5,0,0
Salt Lake,SAN010,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,5,5,0,0
Salt Lake,SAN011,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,30,30,0,0
Salt Lake,SAN011,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,43,43,0,0
Salt Lake,SAN012,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,29,29,0,0
Salt Lake,SAN012,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,34,34,0,0
Salt Lake,SAN013,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,25,25,0,0
Salt Lake,SAN013,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,37,37,0,0
Salt Lake,SAN014,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,27,27,0,0
Salt Lake,SAN014,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,51,51,0,0
Salt Lake,SAN015,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,32,32,0,0
Salt Lake,SAN015,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,30,30,0,0
Salt Lake,SAN016,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,11,11,0,0
Salt Lake,SAN016,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,23,23,0,0
Salt Lake,SAN018,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,18,16,2,0
Salt Lake,SAN018,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,41,41,0,0
Salt Lake,SAN019,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,24,24,0,0
Salt Lake,SAN019,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,27,27,0,0
Salt Lake,SAN020,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,3,3,0,0
Salt Lake,SAN020,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,9,9,0,0
Salt Lake,SAN021,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,17,16,1,0
Salt Lake,SAN021,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,11,11,0,0
Salt Lake,SAN022,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,28,28,0,0
Salt Lake,SAN022,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,41,41,0,0
Salt Lake,SAN024,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,10,10,0,0
Salt Lake,SAN024,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,37,37,0,0
Salt Lake,SAN026,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,24,24,0,0
Salt Lake,SAN026,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,23,23,0,0
Salt Lake,SAN027,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,27,27,0,0
Salt Lake,SAN027,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,42,42,0,0
Salt Lake,SAN029,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,21,21,0,0
Salt Lake,SAN029,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,36,35,1,0
Salt Lake,SAN030,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,8,8,0,0
Salt Lake,SAN030,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,13,13,0,0
Salt Lake,SAN031,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,16,16,0,0
Salt Lake,SAN031,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,33,33,0,0
Salt Lake,SAN032,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,18,18,0,0
Salt Lake,SAN032,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,14,14,0,0
Salt Lake,SAN033,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,47,47,0,0
Salt Lake,SAN033,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,44,44,0,0
Salt Lake,SAN034,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,17,17,0,0
Salt Lake,SAN034,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,36,36,0,0
Salt Lake,SAN035,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,27,27,0,0
Salt Lake,SAN035,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,24,24,0,0
Salt Lake,SAN036,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,25,25,0,0
Salt Lake,SAN036,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,29,29,0,0
Salt Lake,SAN038,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,29,29,0,0
Salt Lake,SAN038,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,40,40,0,0
Salt Lake,SAN041,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,21,21,0,0
Salt Lake,SAN041,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,26,26,0,0
Salt Lake,SAN042,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,28,28,0,0
Salt Lake,SAN042,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,32,32,0,0
Salt Lake,SAN043,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,10,10,0,0
Salt Lake,SAN043,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,15,15,0,0
Salt Lake,SAN044,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,30,30,0,0
Salt Lake,SAN044,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,35,34,1,0
Salt Lake,SAN045,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,54,54,0,0
Salt Lake,SAN045,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,53,53,0,0
Salt Lake,SAN048,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,39,38,1,0
Salt Lake,SAN048,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,49,49,0,0
Salt Lake,SAN049,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,28,28,0,0
Salt Lake,SAN049,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,51,51,0,0
Salt Lake,SAN050,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,25,25,0,0
Salt Lake,SAN050,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,28,28,0,0
Salt Lake,SAN051,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,29,29,0,0
Salt Lake,SAN051,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,46,46,0,0
Salt Lake,SAN052,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,5,5,0,0
Salt Lake,SAN052,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,21,21,0,0
Salt Lake,SAN053,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,16,16,0,0
Salt Lake,SAN053,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,42,42,0,0
Salt Lake,SAN054,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,42,42,0,0
Salt Lake,SAN054,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,22,22,0,0
Salt Lake,SAN055,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,20,20,0,0
Salt Lake,SAN055,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,36,35,1,0
Salt Lake,SAN056,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,34,33,1,0
Salt Lake,SAN056,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,47,46,1,0
Salt Lake,SAN057,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,48,48,0,0
Salt Lake,SAN057,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,57,57,0,0
Salt Lake,SAN058,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,32,32,0,0
Salt Lake,SAN058,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,38,37,1,0
Salt Lake,SAN059,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,6,6,0,0
Salt Lake,SAN059,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,11,11,0,0
Salt Lake,SAN060,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,31,31,0,0
Salt Lake,SAN060,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,34,34,0,0
Salt Lake,SAN061,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,14,14,0,0
Salt Lake,SAN061,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,21,21,0,0
Salt Lake,SAN062,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,24,24,0,0
Salt Lake,SAN062,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,21,21,0,0
Salt Lake,SAN063,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,18,18,0,0
Salt Lake,SAN063,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,24,24,0,0
Salt Lake,SAN064,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,22,22,0,0
Salt Lake,SAN064,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,24,24,0,0
Salt Lake,SAN065,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,29,29,0,0
Salt Lake,SAN065,COUNTY COUNCIL DISTRICT,6,TERRI TAPP HRECHKOSY,DEM,25,25,0,0
Salt Lake,SAN066,COUNTY COUNCIL DISTRICT,6,AARON DEKEYZER,DEM,12,12,0,0
